ReocrdTime: _20250426_133402
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,10,
195.938,10,
195.987,18,
196.037,48,
196.086,19,
196.135,18,
196.184,7,
196.233,63,
196.283,9,
196.332,28,
196.381,63,
196.43,31,
196.479,50,
196.529,62,
196.578,34,
196.627,15,
196.676,64,
196.725,54,
196.774,45,
196.824,25,
196.873,10,
196.922,86,
196.971,41,
197.02,2,
197.069,-7,
197.118,-4,
197.168,19,
197.217,15,
197.266,41,
197.315,28,
197.364,5,
197.413,19,
197.462,18,
197.511,50,
197.56,37,
197.609,25,
197.658,39,
197.707,31,
197.756,75,
197.805,47,
197.854,39,
197.904,9,
197.953,40,
198.002,39,
198.051,64,
198.1,42,
198.149,52,
198.198,41,
198.247,48,
198.296,29,
198.345,70,
198.393,34,
198.442,97,
198.491,61,
198.54,69,
198.589,32,
198.638,70,
198.687,74,
198.736,111,
198.785,45,
198.834,147,
198.883,99,
198.932,131,
198.981,140,
199.03,72,
199.079,66,
199.127,54,
199.176,52,
199.225,37,
199.274,42,
199.323,34,
199.372,68,
199.421,66,
199.47,30,
199.518,67,
199.567,39,
199.616,54,
199.665,63,
199.714,51,
199.763,76,
199.811,33,
199.86,66,
199.909,63,
199.958,50,
200.007,74,
200.055,84,
200.104,61,
200.153,29,
200.202,53,
200.25,31,
200.299,52,
200.348,50,
200.397,45,
200.445,30,
200.494,51,
200.543,73,
200.592,67,
200.64,40,
200.689,22,
200.738,52,
200.787,40,
200.835,25,
200.884,11,
200.933,56,
200.981,20,
201.03,50,
201.079,22,
201.127,52,
201.176,62,
201.225,46,
201.273,63,
201.322,41,
201.371,38,
201.419,58,
201.468,43,
201.516,67,
201.565,34,
201.614,79,
201.662,55,
201.711,56,
201.759,50,
201.808,18,
201.857,73,
201.905,52,
201.954,99,
202.002,73,
202.051,61,
202.099,61,
202.148,44,
202.197,77,
202.245,81,
202.294,68,
202.342,95,
202.391,55,
202.439,68,
202.488,66,
202.536,94,
202.585,67,
202.633,89,
202.682,88,
202.73,61,
202.779,59,
202.827,59,
202.876,34,
202.924,23,
202.973,81,
203.021,39,
203.069,58,
203.118,70,
203.166,72,
203.215,67,
203.263,48,
203.312,70,
203.36,61,
203.408,70,
203.457,34,
203.505,67,
203.554,23,
203.602,34,
203.65,53,
203.699,83,
203.747,68,
203.795,65,
203.844,41,
203.892,66,
203.941,110,
203.989,117,
204.037,70,
204.086,102,
204.134,95,
204.182,60,
204.23,84,
204.279,68,
204.327,86,
204.375,73,
204.424,63,
204.472,96,
204.52,65,
204.569,104,
204.617,68,
204.665,97,
204.713,79,
204.762,86,
204.81,65,
204.858,86,
204.906,72,
204.955,75,
205.003,48,
205.051,83,
205.099,102,
205.147,100,
205.196,70,
205.244,109,
205.292,54,
205.34,86,
205.388,86,
205.437,68,
205.485,102,
205.533,100,
205.581,56,
205.629,82,
205.677,83,
205.725,115,
205.774,118,
205.822,156,
205.87,117,
205.918,79,
205.966,111,
206.014,123,
206.062,95,
206.11,99,
206.158,113,
206.207,104,
206.255,58,
206.303,115,
206.351,85,
206.399,76,
206.447,136,
206.495,102,
206.543,102,
206.591,106,
206.639,77,
206.687,104,
206.735,86,
206.783,81,
206.831,79,
206.879,81,
206.927,74,
206.975,85,
207.023,113,
207.071,94,
207.119,129,
207.167,111,
207.215,109,
207.263,116,
207.311,122,
207.359,70,
207.407,110,
207.455,117,
207.503,118,
207.551,87,
207.599,86,
207.646,99,
207.694,79,
207.742,115,
207.79,130,
207.838,95,
207.886,156,
207.934,78,
207.982,79,
208.03,72,
208.077,97,
208.125,124,
208.173,81,
208.221,131,
208.269,94,
208.317,145,
208.365,150,
208.412,94,
208.46,109,
208.508,91,
208.556,118,
208.604,136,
208.651,88,
208.699,121,
208.747,95,
208.795,86,
208.843,97,
208.89,93,
208.938,132,
208.986,96,
209.034,74,
209.081,108,
209.129,117,
209.177,145,
209.225,119,
209.272,115,
209.32,113,
209.368,131,
209.415,82,
209.463,145,
209.511,110,
209.559,122,
209.606,116,
209.654,133,
209.702,113,
209.749,127,
209.797,102,
209.845,126,
209.892,90,
209.94,126,
209.988,135,
210.035,113,
210.083,95,
210.13,131,
210.178,172,
210.226,142,
210.273,146,
210.321,135,
210.368,106,
210.416,128,
210.464,179,
210.511,140,
210.559,157,
210.606,160,
210.654,115,
210.701,119,
210.749,125,
210.797,143,
210.844,167,
210.892,131,
210.939,140,
210.987,110,
211.034,154,
211.082,147,
211.129,111,
211.177,143,
211.224,151,
211.272,185,
211.319,133,
211.367,156,
211.414,208,
211.462,212,
211.509,145,
211.556,175,
211.604,151,
211.651,175,
211.699,147,
211.746,126,
211.794,153,
211.841,176,
211.889,218,
211.936,178,
211.983,142,
212.031,156,
212.078,171,
212.125,190,
212.173,253,
212.22,248,
212.268,261,
212.315,549,
212.362,778,
212.41,908,
212.457,875,
212.504,496,
212.552,339,
212.599,290,
212.646,206,
212.694,209,
212.741,229,
212.788,180,
212.836,228,
212.883,147,
212.93,194,
212.977,178,
213.025,216,
213.072,174,
213.119,162,
213.167,233,
213.214,175,
213.261,198,
213.308,250,
213.356,169,
213.403,203,
213.45,159,
213.497,199,
213.544,202,
213.592,183,
213.639,218,
213.686,199,
213.733,202,
213.78,185,
213.828,185,
213.875,183,
213.922,218,
213.969,217,
214.016,172,
214.063,204,
214.111,179,
214.158,134,
214.205,153,
214.252,170,
214.299,146,
214.346,197,
214.393,220,
214.44,236,
214.488,169,
214.535,158,
214.582,193,
214.629,183,
214.676,167,
214.723,160,
214.77,212,
214.817,192,
214.864,215,
214.911,212,
214.958,224,
215.005,248,
215.052,219,
215.099,183,
215.146,208,
215.193,187,
215.24,179,
215.287,217,
215.334,210,
215.381,206,
215.428,228,
215.475,174,
215.522,181,
215.569,195,
215.616,169,
215.663,183,
215.71,208,
215.757,195,
215.804,210,
215.851,190,
215.898,199,
215.945,235,
215.992,199,
216.039,193,
216.085,251,
216.132,174,
216.179,195,
216.226,200,
216.273,158,
216.32,226,
216.367,206,
216.414,238,
216.461,208,
216.507,244,
216.554,220,
216.601,236,
216.648,275,
216.695,245,
216.742,257,
216.788,269,
216.835,203,
216.882,184,
216.929,210,
216.976,234,
217.022,169,
217.069,232,
217.116,199,
217.163,179,
217.209,240,
217.256,267,
217.303,249,
217.35,258,
217.396,274,
217.443,255,
217.49,253,
217.537,265,
217.583,264,
217.63,193,
217.677,217,
217.724,178,
217.77,240,
217.817,210,
217.864,198,
217.91,199,
217.957,178,
218.004,230,
218.05,244,
218.097,224,
218.144,185,
218.19,204,
218.237,170,
218.283,171,
218.33,214,
218.377,221,
218.423,192,
218.47,197,
218.517,208,
218.563,237,
218.61,226,
218.656,236,
218.703,231,
218.75,239,
218.796,264,
218.843,276,
218.889,244,
218.936,226,
218.982,207,
219.029,214,
219.075,240,
219.122,192,
219.168,279,
219.215,251,
219.261,233,
219.308,229,
219.354,260,
219.401,257,
219.447,236,
219.494,199,
219.54,179,
219.587,224,
219.633,240,
219.68,249,
219.726,249,
219.773,242,
219.819,206,
219.866,269,
219.912,203,
219.958,313,
220.005,253,
220.051,264,
220.098,254,
220.144,251,
220.19,258,
220.237,294,
220.283,245,
220.33,259,
220.376,305,
220.422,306,
220.469,398,
220.515,391,
220.561,330,
220.608,296,
220.654,311,
220.7,322,
220.747,439,
220.793,559,
220.839,612,
220.886,586,
220.932,475,
220.978,560,
221.025,755,
221.071,1029,
221.117,922,
221.163,1074,
221.21,693,
221.256,602,
221.302,473,
221.348,348,
221.395,339,
221.441,318,
221.487,293,
221.533,291,
221.58,400,
221.626,773,
221.672,1071,
221.718,1046,
221.764,885,
221.811,755,
221.857,680,
221.903,473,
221.949,316,
221.995,343,
222.041,282,
222.088,314,
222.134,266,
222.18,280,
222.226,255,
222.272,294,
222.318,282,
222.364,271,
222.411,175,
222.457,226,
222.503,270,
222.549,262,
222.595,339,
222.641,235,
222.687,321,
222.733,231,
222.779,249,
222.825,264,
222.871,278,
222.917,261,
222.963,268,
223.009,229,
223.055,254,
223.102,309,
223.148,312,
223.194,310,
223.24,262,
223.286,264,
223.332,253,
223.378,270,
223.424,253,
223.469,278,
223.515,264,
223.561,254,
223.607,273,
223.653,248,
223.699,314,
223.745,236,
223.791,226,
223.837,287,
223.883,199,
223.929,246,
223.975,201,
224.021,258,
224.067,219,
224.113,315,
224.158,240,
224.204,267,
224.25,287,
224.296,216,
224.342,276,
224.388,272,
224.434,249,
224.48,214,
224.525,249,
224.571,240,
224.617,253,
224.663,280,
224.709,253,
224.754,213,
224.8,212,
224.846,226,
224.892,289,
224.938,254,
224.983,235,
225.029,251,
225.075,231,
225.121,298,
225.167,226,
225.212,219,
225.258,233,
225.304,264,
225.35,262,
225.395,273,
225.441,289,
225.487,323,
225.532,235,
225.578,208,
225.624,288,
225.67,267,
225.715,269,
225.761,267,
225.807,324,
225.852,271,
225.898,301,
225.944,316,
225.989,348,
226.035,352,
226.08,240,
226.126,358,
226.172,302,
226.217,364,
226.263,409,
226.309,559,
226.354,639,
226.4,714,
226.445,620,
226.491,536,
226.537,382,
226.582,394,
226.628,312,
226.673,365,
226.719,339,
226.764,384,
226.81,441,
226.855,657,
226.901,834,
226.947,933,
226.992,879,
227.038,624,
227.083,472,
227.129,385,
227.174,370,
227.22,288,
227.265,303,
227.311,301,
227.356,303,
227.402,334,
227.447,274,
227.492,346,
227.538,287,
227.583,332,
227.629,290,
227.674,299,
227.72,260,
227.765,260,
227.81,312,
227.856,287,
227.901,297,
227.947,300,
227.992,240,
228.037,289,
228.083,316,
228.128,271,
228.174,256,
228.219,321,
228.264,274,
228.31,231,
228.355,285,
228.4,316,
228.446,269,
228.491,271,
228.536,287,
228.582,290,
228.627,312,
228.672,242,
228.717,263,
228.763,272,
228.808,280,
228.853,305,
228.899,326,
228.944,316,
228.989,282,
229.034,301,
229.08,327,
229.125,330,
229.17,281,
229.215,277,
229.261,299,
229.306,296,
229.351,266,
229.396,341,
229.441,321,
229.487,393,
229.532,351,
229.577,420,
229.622,388,
229.667,373,
229.712,400,
229.758,393,
229.803,370,
229.848,352,
229.893,357,
229.938,331,
229.983,316,
230.028,296,
230.074,312,
230.119,312,
230.164,269,
230.209,296,
230.254,321,
230.299,319,
230.344,376,
230.389,339,
230.434,336,
230.479,341,
230.524,343,
230.569,272,
230.614,323,
230.66,293,
230.705,301,
230.75,297,
230.795,278,
