ReocrdTime: _20250426_124201
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,17,
195.938,17,
195.987,9,
196.037,7,
196.086,21,
196.135,21,
196.184,24,
196.233,36,
196.283,-16,
196.332,-16,
196.381,31,
196.43,9,
196.479,61,
196.529,-6,
196.578,7,
196.627,-14,
196.676,70,
196.725,38,
196.774,19,
196.824,-20,
196.873,-22,
196.922,37,
196.971,2,
197.02,24,
197.069,9,
197.118,16,
197.168,0,
197.217,0,
197.266,5,
197.315,43,
197.364,12,
197.413,16,
197.462,-3,
197.511,36,
197.56,32,
197.609,0,
197.658,30,
197.707,16,
197.756,3,
197.805,43,
197.854,21,
197.904,24,
197.953,2,
198.002,5,
198.051,5,
198.1,8,
198.149,29,
198.198,45,
198.247,27,
198.296,0,
198.345,16,
198.393,0,
198.442,29,
198.491,25,
198.54,26,
198.589,-11,
198.638,5,
198.687,24,
198.736,79,
198.785,23,
198.834,38,
198.883,45,
198.932,47,
198.981,43,
199.03,55,
199.079,32,
199.127,-5,
199.176,13,
199.225,54,
199.274,56,
199.323,30,
199.372,56,
199.421,18,
199.47,10,
199.518,36,
199.567,37,
199.616,43,
199.665,31,
199.714,4,
199.763,58,
199.811,51,
199.86,57,
199.909,30,
199.958,13,
200.007,6,
200.055,30,
200.104,36,
200.153,22,
200.202,22,
200.25,-10,
200.299,34,
200.348,19,
200.397,40,
200.445,14,
200.494,15,
200.543,5,
200.592,6,
200.64,9,
200.689,31,
200.738,45,
200.787,-10,
200.835,9,
200.884,8,
200.933,49,
200.981,29,
201.03,39,
201.079,18,
201.127,7,
201.176,48,
201.225,39,
201.273,34,
201.322,-5,
201.371,27,
201.419,27,
201.468,32,
201.516,60,
201.565,13,
201.614,63,
201.662,12,
201.711,6,
201.759,12,
201.808,-7,
201.857,43,
201.905,36,
201.954,54,
202.002,32,
202.051,41,
202.099,52,
202.148,21,
202.197,50,
202.245,20,
202.294,18,
202.342,63,
202.391,32,
202.439,57,
202.488,10,
202.536,54,
202.585,31,
202.633,71,
202.682,41,
202.73,47,
202.779,18,
202.827,41,
202.876,28,
202.924,1,
202.973,56,
203.021,14,
203.069,-9,
203.118,48,
203.166,48,
203.215,33,
203.263,37,
203.312,16,
203.36,36,
203.408,29,
203.457,24,
203.505,41,
203.554,-16,
203.602,11,
203.65,6,
203.699,36,
203.747,50,
203.795,63,
203.844,5,
203.892,41,
203.941,77,
203.989,60,
204.037,36,
204.086,68,
204.134,24,
204.182,25,
204.23,61,
204.279,32,
204.327,48,
204.375,45,
204.424,27,
204.472,29,
204.52,40,
204.569,45,
204.617,47,
204.665,13,
204.713,25,
204.762,43,
204.81,31,
204.858,63,
204.906,36,
204.955,30,
205.003,45,
205.051,52,
205.099,61,
205.147,75,
205.196,50,
205.244,25,
205.292,34,
205.34,56,
205.388,41,
205.437,68,
205.485,40,
205.533,43,
205.581,38,
205.629,37,
205.677,67,
205.725,43,
205.774,25,
205.822,49,
205.87,42,
205.918,61,
205.966,59,
206.014,36,
206.062,20,
206.11,32,
206.158,63,
206.207,61,
206.255,76,
206.303,54,
206.351,65,
206.399,44,
206.447,72,
206.495,46,
206.543,68,
206.591,56,
206.639,20,
206.687,72,
206.735,58,
206.783,34,
206.831,41,
206.879,69,
206.927,16,
206.975,22,
207.023,76,
207.071,54,
207.119,52,
207.167,66,
207.215,48,
207.263,54,
207.311,90,
207.359,59,
207.407,61,
207.455,43,
207.503,63,
207.551,66,
207.599,40,
207.646,57,
207.694,54,
207.742,32,
207.79,54,
207.838,50,
207.886,106,
207.934,51,
207.982,33,
208.03,61,
208.077,42,
208.125,77,
208.173,52,
208.221,86,
208.269,49,
208.317,68,
208.365,75,
208.412,51,
208.46,72,
208.508,53,
208.556,53,
208.604,104,
208.651,49,
208.699,86,
208.747,79,
208.795,50,
208.843,60,
208.89,68,
208.938,82,
208.986,82,
209.034,45,
209.081,58,
209.129,39,
209.177,77,
209.225,67,
209.272,65,
209.32,73,
209.368,57,
209.415,22,
209.463,106,
209.511,84,
209.559,63,
209.606,104,
209.654,51,
209.702,73,
209.749,111,
209.797,62,
209.845,63,
209.892,74,
209.94,68,
209.988,65,
210.035,64,
210.083,49,
210.13,84,
210.178,84,
210.226,83,
210.273,76,
210.321,112,
210.368,41,
210.416,85,
210.464,83,
210.511,101,
210.559,65,
210.606,84,
210.654,74,
210.701,78,
210.749,61,
210.797,71,
210.844,78,
210.892,97,
210.939,81,
210.987,52,
211.034,72,
211.082,99,
211.129,102,
211.177,63,
211.224,85,
211.272,90,
211.319,67,
211.367,90,
211.414,97,
211.462,119,
211.509,88,
211.556,93,
211.604,43,
211.651,82,
211.699,68,
211.746,68,
211.794,88,
211.841,122,
211.889,82,
211.936,87,
211.983,108,
212.031,95,
212.078,101,
212.125,86,
212.173,104,
212.22,110,
212.268,97,
212.315,127,
212.362,100,
212.41,174,
212.457,185,
212.504,152,
212.552,111,
212.599,95,
212.646,66,
212.694,71,
212.741,91,
212.788,92,
212.836,151,
212.883,86,
212.93,106,
212.977,78,
213.025,146,
213.072,70,
213.119,95,
213.167,119,
213.214,82,
213.261,85,
213.308,128,
213.356,126,
213.403,147,
213.45,102,
213.497,77,
213.544,100,
213.592,104,
213.639,89,
213.686,108,
213.733,98,
213.78,79,
213.828,88,
213.875,108,
213.922,98,
213.969,91,
214.016,64,
214.063,108,
214.111,98,
214.158,88,
214.205,106,
214.252,83,
214.299,38,
214.346,95,
214.393,129,
214.44,113,
214.488,102,
214.535,99,
214.582,107,
214.629,95,
214.676,101,
214.723,94,
214.77,76,
214.817,90,
214.864,108,
214.911,108,
214.958,109,
215.005,122,
215.052,95,
215.099,59,
215.146,106,
215.193,88,
215.24,96,
215.287,129,
215.334,97,
215.381,93,
215.428,117,
215.475,113,
215.522,95,
215.569,116,
215.616,88,
215.663,95,
215.71,111,
215.757,95,
215.804,110,
215.851,116,
215.898,110,
215.945,115,
215.992,108,
216.039,172,
216.085,145,
216.132,99,
216.179,97,
216.226,116,
216.273,97,
216.32,181,
216.367,111,
216.414,120,
216.461,111,
216.507,151,
216.554,113,
216.601,104,
216.648,171,
216.695,113,
216.742,119,
216.788,115,
216.835,97,
216.882,97,
216.929,94,
216.976,104,
217.022,119,
217.069,103,
217.116,108,
217.163,96,
217.209,113,
217.256,129,
217.303,126,
217.35,105,
217.396,147,
217.443,136,
217.49,97,
217.537,111,
217.583,133,
217.63,116,
217.677,117,
217.724,113,
217.77,131,
217.817,126,
217.864,110,
217.91,118,
217.957,109,
218.004,97,
218.05,145,
218.097,115,
218.144,101,
218.19,111,
218.237,122,
218.283,130,
218.33,145,
218.377,124,
218.423,117,
218.47,139,
218.517,104,
218.563,138,
218.61,115,
218.656,157,
218.703,136,
218.75,131,
218.796,176,
218.843,149,
218.889,156,
218.936,165,
218.982,133,
219.029,110,
219.075,143,
219.122,77,
219.168,163,
219.215,129,
219.261,141,
219.308,167,
219.354,127,
219.401,133,
219.447,143,
219.494,99,
219.54,100,
219.587,127,
219.633,132,
219.68,138,
219.726,145,
219.773,139,
219.819,106,
219.866,159,
219.912,129,
219.958,138,
220.005,131,
220.051,129,
220.098,157,
220.144,152,
220.19,136,
220.237,154,
220.283,147,
220.33,131,
220.376,119,
220.422,120,
220.469,164,
220.515,143,
220.561,104,
220.608,120,
220.654,106,
220.7,116,
220.747,138,
220.793,139,
220.839,183,
220.886,163,
220.932,144,
220.978,160,
221.025,192,
221.071,211,
221.117,216,
221.163,249,
221.21,212,
221.256,190,
221.302,166,
221.348,140,
221.395,152,
221.441,154,
221.487,144,
221.533,151,
221.58,120,
221.626,161,
221.672,255,
221.718,249,
221.764,187,
221.811,220,
221.857,235,
221.903,152,
221.949,133,
221.995,196,
222.041,171,
222.088,171,
222.134,138,
222.18,151,
222.226,140,
222.272,158,
222.318,169,
222.364,110,
222.411,80,
222.457,126,
222.503,136,
222.549,149,
222.595,174,
222.641,125,
222.687,199,
222.733,157,
222.779,157,
222.825,142,
222.871,138,
222.917,165,
222.963,146,
223.009,157,
223.055,167,
223.102,210,
223.148,161,
223.194,157,
223.24,149,
223.286,109,
223.332,161,
223.378,186,
223.424,133,
223.469,168,
223.515,165,
223.561,159,
223.607,135,
223.653,131,
223.699,142,
223.745,132,
223.791,106,
223.837,129,
223.883,147,
223.929,149,
223.975,133,
224.021,149,
224.067,104,
224.113,188,
224.158,144,
224.204,159,
224.25,192,
224.296,153,
224.342,221,
224.388,134,
224.434,142,
224.48,122,
224.525,149,
224.571,160,
224.617,148,
224.663,188,
224.709,190,
224.754,145,
224.8,120,
224.846,133,
224.892,185,
224.938,136,
224.983,120,
225.029,99,
225.075,135,
225.121,158,
225.167,153,
225.212,135,
225.258,120,
225.304,149,
225.35,162,
225.395,149,
225.441,160,
225.487,208,
225.532,131,
225.578,122,
225.624,125,
225.67,154,
225.715,156,
225.761,143,
225.807,166,
225.852,144,
225.898,147,
225.944,165,
225.989,168,
226.035,196,
226.08,104,
226.126,174,
226.172,154,
226.217,203,
226.263,190,
226.309,136,
226.354,149,
226.4,194,
226.445,242,
226.491,197,
226.537,150,
226.582,212,
226.628,150,
226.673,183,
226.719,155,
226.764,160,
226.81,119,
226.855,153,
226.901,175,
226.947,244,
226.992,289,
227.038,229,
227.083,182,
227.129,183,
227.174,160,
227.22,152,
227.265,212,
227.311,186,
227.356,172,
227.402,143,
227.447,125,
227.492,168,
227.538,122,
227.583,158,
227.629,165,
227.674,145,
227.72,142,
227.765,177,
227.81,156,
227.856,154,
227.901,154,
227.947,155,
227.992,134,
228.037,155,
228.083,174,
228.128,151,
228.174,145,
228.219,136,
228.264,208,
228.31,118,
228.355,142,
228.4,171,
228.446,148,
228.491,195,
228.536,185,
228.582,208,
228.627,187,
228.672,149,
228.717,159,
228.763,157,
228.808,160,
228.853,156,
228.899,150,
228.944,213,
228.989,158,
229.034,148,
229.08,154,
229.125,200,
229.17,152,
229.215,176,
229.261,172,
229.306,204,
229.351,178,
229.396,203,
229.441,145,
229.487,241,
229.532,215,
229.577,249,
229.622,230,
229.667,276,
229.712,221,
229.758,214,
229.803,179,
229.848,203,
229.893,205,
229.938,179,
229.983,169,
230.028,167,
230.074,201,
230.119,181,
230.164,189,
230.209,160,
230.254,180,
230.299,163,
230.344,190,
230.389,215,
230.434,185,
230.479,181,
230.524,167,
230.569,113,
230.614,184,
230.66,198,
230.705,181,
230.75,154,
230.795,145,
230.84,194,
230.885,184,
230.93,172,
230.975,181,
231.02,131,
231.065,139,
231.11,200,
231.155,167,
231.199,210,
231.244,159,
231.289,140,
231.334,209,
231.379,210,
231.424,223,
231.469,165,
231.514,171,
231.559,146,
231.604,194,
231.649,115,
231.694,163,
231.739,192,
231.783,134,
231.828,199,
231.873,167,
231.918,226,
231.963,195,
232.008,217,
232.053,142,
232.098,188,
232.142,165,
232.187,194,
232.232,214,
232.277,222,
232.322,156,
232.366,171,
232.411,159,
232.456,168,
232.501,221,
232.546,158,
232.59,127,
232.635,213,
232.68,135,
232.725,183,
232.769,172,
232.814,124,
232.859,156,
232.904,163,
232.948,185,
232.993,185,
233.038,178,
233.083,205,
233.127,167,
233.172,165,
233.217,208,
233.261,226,
233.306,217,
233.351,194,
233.395,170,
233.44,181,
233.485,201,
233.529,174,
233.574,161,
233.619,174,
233.663,205,
233.708,203,
233.752,234,
233.797,223,
233.842,226,
233.886,165,
233.931,206,
233.975,224,
234.02,229,
234.065,187,
234.109,160,
234.154,235,
234.198,217,
234.243,243,
234.287,185,
234.332,238,
234.377,192,
234.421,239,
234.466,173,
234.51,209,
234.555,187,
234.599,161,
234.644,213,
234.688,189,
234.733,186,
234.777,204,
234.822,206,
234.866,204,
234.91,215,
234.955,208,
234.999,217,
235.044,214,
235.088,183,
235.133,174,
235.177,190,
235.221,226,
235.266,187,
235.31,187,
235.355,195,
235.399,149,
235.443,174,
235.488,160,
235.532,178,
235.577,199,
235.621,203,
235.665,119,
235.71,192,
235.754,212,
235.798,163,
235.843,212,
235.887,201,
235.931,186,
235.976,230,
236.02,237,
236.064,197,
236.109,162,
236.153,158,
236.197,159,
236.241,205,
236.286,215,
236.33,187,
236.374,153,
236.418,211,
236.463,167,
236.507,229,
236.551,218,
236.595,275,
236.64,185,
236.684,226,
236.728,345,
236.772,371,
236.816,301,
236.861,258,
236.905,237,
236.949,238,
236.993,239,
237.037,226,
237.082,258,
237.126,215,
237.17,233,
237.214,252,
237.258,334,
237.302,369,
237.346,387,
237.39,434,
237.435,328,
237.479,272,
237.523,242,
237.567,228,
237.611,197,
237.655,176,
237.699,170,
237.743,192,
237.787,255,
237.831,226,
237.875,224,
237.919,210,
237.963,167,
238.008,192,
238.052,192,
238.096,185,
238.14,215,
238.184,290,
238.228,282,
238.272,272,
238.316,228,
238.36,236,
238.404,253,
238.447,196,
238.491,244,
238.535,165,
238.579,227,
238.623,176,
238.667,233,
238.711,187,
238.755,208,
238.799,243,
238.843,226,
238.887,287,
238.931,186,
238.975,249,
239.019,199,
239.062,208,
239.106,233,
239.15,188,
239.194,183,
239.238,178,
239.282,233,
239.326,226,
239.369,200,
239.413,167,
239.457,181,
239.501,230,
239.545,241,
239.589,280,
239.632,263,
239.676,190,
239.72,217,
239.764,199,
239.807,246,
239.851,201,
239.895,200,
239.939,180,
239.983,227,
240.026,244,
240.07,237,
240.114,185,
240.158,174,
240.201,140,
240.245,183,
240.289,174,
240.332,185,
240.376,210,
240.42,192,
240.463,214,
240.507,194,
240.551,238,
240.594,209,
240.638,246,
240.682,229,
240.725,183,
240.769,151,
240.813,215,
240.856,170,
240.9,188,
240.944,169,
240.987,177,
241.031,202,
241.074,270,
241.118,222,
241.162,168,
241.205,289,
241.249,195,
241.292,220,
241.336,239,
241.379,208,
241.423,169,
241.466,226,
241.51,145,
241.554,208,
241.597,194,
241.641,206,
241.684,238,
241.728,158,
241.771,221,
241.815,192,
241.858,185,
241.902,208,
241.945,165,
241.989,248,
242.032,195,
242.075,219,
242.119,214,
242.162,198,
242.206,142,
242.249,170,
242.293,133,
242.336,228,
242.379,229,
242.423,183,
242.466,154,
242.51,220,
242.553,202,
242.596,238,
242.64,166,
242.683,179,
242.727,205,
242.77,165,
242.813,162,
242.857,201,
242.9,192,
242.943,186,
242.987,222,
243.03,258,
243.073,221,
243.116,191,
243.16,221,
243.203,150,
243.246,199,
243.29,234,
243.333,192,
243.376,190,
243.419,217,
243.463,269,
243.506,318,
243.549,342,
243.592,270,
243.636,208,
243.679,233,
243.722,210,
243.765,223,
243.809,207,
243.852,187,
243.895,219,
243.938,208,
243.981,143,
244.024,254,
244.068,199,
244.111,214,
244.154,195,
244.197,174,
244.24,158,
244.283,202,
244.327,246,
244.37,165,
244.413,221,
244.456,154,
244.499,104,
244.542,188,
244.585,207,
244.628,204,
244.671,161,
244.714,182,
244.757,217,
244.801,224,
244.844,167,
244.887,177,
244.93,117,
244.973,192,
245.016,257,
245.059,223,
245.102,131,
245.145,167,
245.188,230,
245.231,186,
245.274,203,
245.317,216,
245.36,172,
245.403,145,
245.446,176,
245.489,225,
245.532,187,
245.575,178,
245.617,186,
245.66,202,
245.703,192,
245.746,167,
245.789,203,
245.832,240,
245.875,192,
245.918,195,
245.961,226,
246.004,192,
246.047,194,
246.089,156,
246.132,172,
246.175,188,
246.218,231,
246.261,230,
246.304,163,
246.347,222,
246.389,231,
246.432,179,
246.475,197,
246.518,192,
246.561,222,
246.603,190,
246.646,188,
246.689,167,
246.732,201,
246.775,179,
246.817,220,
246.86,170,
246.903,174,
246.946,212,
246.988,198,
247.031,208,
247.074,212,
247.116,133,
247.159,192,
247.202,178,
247.245,171,
247.287,207,
247.33,263,
247.373,188,
247.415,204,
247.458,193,
247.501,212,
247.543,181,
247.586,195,
247.629,203,
247.671,230,
247.714,201,
247.756,291,
247.799,319,
247.842,552,
247.884,607,
247.927,714,
247.97,375,
248.012,357,
248.055,337,
248.097,201,
248.14,227,
248.182,183,
248.225,208,
248.267,262,
248.31,201,
248.353,231,
248.395,188,
248.438,248,
248.48,224,
248.523,222,
248.565,226,
248.608,171,
248.65,264,
248.693,217,
248.735,184,
248.778,210,
248.82,214,
248.863,243,
248.905,223,
248.947,193,
248.99,216,
249.032,201,
249.075,231,
249.117,242,
249.16,262,
249.202,226,
249.244,203,
249.287,175,
249.329,238,
249.372,193,
249.414,222,
249.456,197,
249.499,176,
249.541,183,
249.583,174,
249.626,221,
249.668,210,
249.71,213,
249.753,170,
249.795,208,
249.837,172,
249.88,185,
249.922,261,
249.964,214,
250.007,138,
250.049,165,
250.091,260,
250.133,181,
250.176,192,
250.218,180,
250.26,194,
250.302,220,
250.345,194,
250.387,211,
250.429,165,
250.471,221,
250.513,196,
250.556,161,
250.598,158,
250.64,325,
250.682,498,
250.724,656,
250.767,538,
250.809,296,
250.851,275,
250.893,249,
250.935,217,
250.977,176,
251.019,175,
251.062,172,
251.104,199,
251.146,244,
251.188,222,
251.23,203,
251.272,228,
251.314,109,
251.356,208,
251.398,359,
251.44,516,
251.483,660,
251.525,398,
251.567,540,
251.609,968,
251.651,1177,
251.693,847,
251.735,421,
251.777,425,
251.819,256,
251.861,323,
251.903,398,
251.945,481,
251.987,477,
252.029,289,
252.071,276,
252.113,249,
252.155,192,
252.197,169,
252.239,199,
252.281,233,
252.322,269,
252.364,339,
252.406,506,
252.448,660,
252.49,509,
252.532,289,
252.574,334,
252.616,235,
252.658,299,
252.7,189,
252.741,298,
252.783,279,
252.825,538,
252.867,613,
252.909,613,
252.951,403,
252.993,314,
253.034,264,
253.076,278,
253.118,233,
253.16,190,
253.202,201,
253.243,238,
253.285,221,
253.327,213,
253.369,196,
253.41,199,
253.452,195,
253.494,242,
253.536,220,
253.577,241,
253.619,187,
253.661,145,
253.703,174,
253.744,188,
253.786,213,
253.828,180,
253.87,161,
253.911,174,
253.953,213,
253.995,217,
254.036,174,
254.078,196,
254.12,197,
254.161,224,
254.203,213,
254.244,229,
254.286,242,
254.328,217,
254.369,163,
254.411,167,
254.453,199,
254.494,137,
254.536,176,
254.577,181,
254.619,152,
254.66,234,
