ReocrdTime: _20250426_125756
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,41,
195.938,41,
195.987,18,
196.037,43,
196.086,26,
196.135,32,
196.184,25,
196.233,38,
196.283,16,
196.332,12,
196.381,43,
196.43,29,
196.479,29,
196.529,16,
196.578,18,
196.627,17,
196.676,48,
196.725,36,
196.774,19,
196.824,21,
196.873,23,
196.922,48,
196.971,27,
197.02,8,
197.069,15,
197.118,21,
197.168,0,
197.217,15,
197.266,36,
197.315,37,
197.364,21,
197.413,-2,
197.462,7,
197.511,23,
197.56,43,
197.609,32,
197.658,54,
197.707,18,
197.756,30,
197.805,31,
197.854,55,
197.904,26,
197.953,41,
198.002,21,
198.051,30,
198.1,38,
198.149,54,
198.198,59,
198.247,37,
198.296,15,
198.345,45,
198.393,5,
198.442,61,
198.491,47,
198.54,44,
198.589,9,
198.638,34,
198.687,61,
198.736,74,
198.785,45,
198.834,74,
198.883,33,
198.932,92,
198.981,100,
199.03,68,
199.079,23,
199.127,32,
199.176,29,
199.225,59,
199.274,51,
199.323,36,
199.372,54,
199.421,29,
199.47,25,
199.518,60,
199.567,50,
199.616,54,
199.665,22,
199.714,29,
199.763,45,
199.811,58,
199.86,52,
199.909,56,
199.958,20,
200.007,33,
200.055,41,
200.104,40,
200.153,40,
200.202,58,
200.25,2,
200.299,43,
200.348,27,
200.397,40,
200.445,68,
200.494,31,
200.543,28,
200.592,13,
200.64,24,
200.689,22,
200.738,41,
200.787,-5,
200.835,2,
200.884,-1,
200.933,76,
200.981,36,
201.03,36,
201.079,33,
201.127,54,
201.176,61,
201.225,77,
201.273,38,
201.322,41,
201.371,27,
201.419,61,
201.468,37,
201.516,56,
201.565,34,
201.614,52,
201.662,32,
201.711,-14,
201.759,52,
201.808,31,
201.857,55,
201.905,33,
201.954,75,
202.002,70,
202.051,53,
202.099,50,
202.148,16,
202.197,32,
202.245,45,
202.294,34,
202.342,68,
202.391,57,
202.439,59,
202.488,41,
202.536,108,
202.585,34,
202.633,80,
202.682,71,
202.73,29,
202.779,21,
202.827,79,
202.876,50,
202.924,62,
202.973,52,
203.021,27,
203.069,29,
203.118,61,
203.166,83,
203.215,58,
203.263,25,
203.312,63,
203.36,59,
203.408,65,
203.457,59,
203.505,43,
203.554,9,
203.602,33,
203.65,9,
203.699,61,
203.747,43,
203.795,69,
203.844,21,
203.892,57,
203.941,72,
203.989,79,
204.037,69,
204.086,86,
204.134,42,
204.182,49,
204.23,61,
204.279,72,
204.327,68,
204.375,59,
204.424,59,
204.472,63,
204.52,83,
204.569,81,
204.617,31,
204.665,50,
204.713,47,
204.762,49,
204.81,47,
204.858,83,
204.906,51,
204.955,48,
205.003,48,
205.051,74,
205.099,91,
205.147,113,
205.196,56,
205.244,75,
205.292,52,
205.34,74,
205.388,113,
205.437,82,
205.485,68,
205.533,78,
205.581,54,
205.629,79,
205.677,120,
205.725,81,
205.774,41,
205.822,92,
205.87,59,
205.918,81,
205.966,113,
206.014,73,
206.062,79,
206.11,47,
206.158,115,
206.207,94,
206.255,56,
206.303,90,
206.351,104,
206.399,94,
206.447,113,
206.495,91,
206.543,95,
206.591,99,
206.639,36,
206.687,86,
206.735,90,
206.783,94,
206.831,84,
206.879,70,
206.927,74,
206.975,81,
207.023,97,
207.071,88,
207.119,79,
207.167,70,
207.215,73,
207.263,104,
207.311,110,
207.359,73,
207.407,92,
207.455,90,
207.503,108,
207.551,82,
207.599,93,
207.646,86,
207.694,66,
207.742,81,
207.79,76,
207.838,106,
207.886,142,
207.934,108,
207.982,74,
208.03,88,
208.077,99,
208.125,93,
208.173,108,
208.221,71,
208.269,76,
208.317,91,
208.365,129,
208.412,110,
208.46,88,
208.508,123,
208.556,80,
208.604,127,
208.651,103,
208.699,112,
208.747,97,
208.795,84,
208.843,99,
208.89,108,
208.938,132,
208.986,93,
209.034,39,
209.081,83,
209.129,102,
209.177,109,
209.225,112,
209.272,108,
209.32,91,
209.368,118,
209.415,84,
209.463,156,
209.511,133,
209.559,91,
209.606,115,
209.654,108,
209.702,120,
209.749,92,
209.797,89,
209.845,126,
209.892,99,
209.94,104,
209.988,117,
210.035,124,
210.083,88,
210.13,129,
210.178,99,
210.226,147,
210.273,139,
210.321,155,
210.368,77,
210.416,86,
210.464,120,
210.511,113,
210.559,149,
210.606,156,
210.654,93,
210.701,97,
210.749,109,
210.797,102,
210.844,142,
210.892,109,
210.939,102,
210.987,90,
211.034,108,
211.082,158,
211.129,104,
211.177,147,
211.224,124,
211.272,124,
211.319,115,
211.367,147,
211.414,158,
211.462,149,
211.509,131,
211.556,143,
211.604,133,
211.651,156,
211.699,156,
211.746,106,
211.794,124,
211.841,154,
211.889,152,
211.936,162,
211.983,127,
212.031,135,
212.078,128,
212.125,143,
212.173,171,
212.22,182,
212.268,160,
212.315,210,
212.362,283,
212.41,405,
212.457,486,
212.504,362,
212.552,217,
212.599,154,
212.646,134,
212.694,150,
212.741,174,
212.788,162,
212.836,142,
212.883,151,
212.93,164,
212.977,140,
213.025,196,
213.072,173,
213.119,140,
213.167,172,
213.214,127,
213.261,128,
213.308,164,
213.356,153,
213.403,135,
213.45,170,
213.497,149,
213.544,154,
