ReocrdTime: _20250426_110515
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,21,
195.938,21,
195.987,11,
196.037,5,
196.086,30,
196.135,14,
196.184,31,
196.233,26,
196.283,16,
196.332,-2,
196.381,25,
196.43,13,
196.479,32,
196.529,12,
196.578,36,
196.627,-10,
196.676,34,
196.725,18,
196.774,30,
196.824,16,
196.873,-18,
196.922,50,
196.971,4,
197.02,13,
197.069,9,
197.118,36,
197.168,-7,
197.217,2,
197.266,25,
197.315,19,
197.364,-4,
197.413,12,
197.462,-7,
197.511,3,
197.56,41,
197.609,25,
197.658,-2,
197.707,20,
197.756,21,
197.805,13,
197.854,12,
197.904,0,
197.953,38,
198.002,-2,
198.051,9,
198.1,26,
198.149,40,
198.198,56,
198.247,55,
198.296,15,
198.345,25,
198.393,5,
198.442,50,
198.491,45,
198.54,9,
198.589,1,
198.638,20,
198.687,27,
198.736,39,
198.785,47,
198.834,65,
198.883,69,
198.932,66,
198.981,79,
199.03,39,
199.079,36,
199.127,29,
199.176,16,
199.225,32,
199.274,36,
199.323,7,
199.372,31,
199.421,49,
199.47,3,
199.518,47,
199.567,37,
199.616,67,
199.665,45,
199.714,15,
199.763,40,
199.811,24,
199.86,86,
199.909,20,
199.958,22,
200.007,15,
200.055,48,
200.104,31,
200.153,20,
200.202,24,
200.25,-9,
200.299,20,
200.348,27,
200.397,20,
200.445,20,
200.494,13,
200.543,53,
200.592,-7,
200.64,11,
200.689,52,
200.738,9,
200.787,34,
200.835,9,
200.884,-14,
200.933,45,
200.981,31,
201.03,32,
201.079,42,
201.127,36,
201.176,37,
201.225,50,
201.273,41,
201.322,23,
201.371,20,
201.419,67,
201.468,36,
201.516,36,
201.565,34,
201.614,59,
201.662,32,
201.711,4,
201.759,9,
201.808,2,
201.857,32,
201.905,15,
201.954,74,
202.002,41,
202.051,64,
202.099,50,
202.148,34,
202.197,34,
202.245,29,
202.294,23,
202.342,45,
202.391,50,
202.439,41,
202.488,45,
202.536,63,
202.585,40,
202.633,36,
202.682,50,
202.73,33,
202.779,23,
202.827,50,
202.876,57,
202.924,41,
202.973,54,
203.021,52,
203.069,9,
203.118,41,
203.166,52,
203.215,52,
203.263,34,
203.312,38,
203.36,43,
203.408,43,
203.457,43,
203.505,16,
203.554,16,
203.602,13,
203.65,36,
203.699,65,
203.747,18,
203.795,74,
203.844,5,
203.892,50,
203.941,79,
203.989,106,
204.037,43,
204.086,66,
204.134,34,
204.182,27,
204.23,45,
204.279,52,
204.327,54,
204.375,59,
204.424,54,
204.472,47,
204.52,56,
204.569,34,
204.617,29,
204.665,49,
204.713,67,
204.762,43,
204.81,42,
204.858,79,
204.906,60,
