ReocrdTime: _20250426_124503
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,26,
195.938,26,
195.987,43,
196.037,10,
196.086,16,
196.135,23,
196.184,34,
196.233,70,
196.283,18,
196.332,7,
196.381,56,
196.43,15,
196.479,57,
196.529,32,
196.578,36,
196.627,-12,
196.676,34,
196.725,52,
196.774,30,
196.824,16,
196.873,-15,
196.922,32,
196.971,18,
197.02,16,
197.069,20,
197.118,39,
197.168,7,
197.217,2,
197.266,41,
197.315,48,
197.364,23,
197.413,34,
197.462,7,
197.511,11,
197.56,48,
197.609,50,
197.658,61,
197.707,45,
197.756,48,
197.805,41,
197.854,50,
197.904,52,
197.953,40,
198.002,34,
198.051,30,
198.1,20,
198.149,65,
198.198,66,
198.247,48,
198.296,34,
198.345,27,
198.393,16,
198.442,74,
198.491,52,
198.54,38,
198.589,16,
198.638,41,
198.687,110,
198.736,108,
198.785,93,
198.834,143,
198.883,113,
198.932,161,
198.981,150,
199.03,131,
199.079,97,
199.127,48,
199.176,61,
199.225,45,
199.274,34,
199.323,21,
199.372,61,
199.421,52,
199.47,12,
199.518,56,
199.567,45,
199.616,72,
199.665,24,
199.714,13,
199.763,76,
199.811,29,
199.86,57,
199.909,36,
199.958,36,
200.007,15,
200.055,41,
200.104,45,
200.153,56,
200.202,42,
200.25,4,
200.299,38,
200.348,48,
200.397,44,
200.445,41,
200.494,36,
200.543,46,
200.592,13,
200.64,47,
200.689,34,
200.738,48,
200.787,27,
200.835,38,
200.884,9,
200.933,52,
200.981,38,
201.03,43,
201.079,42,
201.127,57,
201.176,69,
201.225,82,
201.273,63,
201.322,27,
201.371,25,
201.419,49,
201.468,32,
201.516,72,
201.565,15,
201.614,40,
201.662,37,
201.711,-9,
201.759,45,
201.808,14,
201.857,59,
201.905,51,
201.954,84,
202.002,54,
202.051,61,
202.099,38,
202.148,50,
202.197,39,
202.245,38,
202.294,39,
202.342,52,
202.391,61,
202.439,74,
202.488,50,
202.536,101,
202.585,69,
202.633,84,
202.682,48,
202.73,47,
202.779,28,
202.827,59,
202.876,63,
202.924,78,
202.973,75,
203.021,43,
203.069,38,
203.118,50,
203.166,68,
203.215,70,
203.263,66,
203.312,54,
203.36,52,
203.408,52,
203.457,47,
203.505,65,
203.554,23,
203.602,58,
203.65,35,
203.699,43,
203.747,42,
203.795,79,
203.844,57,
203.892,59,
203.941,77,
203.989,103,
204.037,61,
204.086,77,
204.134,45,
204.182,40,
204.23,57,
204.279,54,
204.327,68,
204.375,73,
204.424,63,
204.472,45,
204.52,72,
204.569,100,
204.617,47,
204.665,57,
204.713,74,
204.762,77,
204.81,51,
204.858,77,
204.906,54,
204.955,61,
205.003,47,
205.051,74,
205.099,54,
205.147,81,
205.196,43,
205.244,79,
205.292,50,
205.34,99,
205.388,105,
205.437,79,
205.485,111,
205.533,98,
205.581,68,
205.629,79,
205.677,90,
205.725,88,
205.774,116,
205.822,185,
205.87,92,
205.918,115,
205.966,79,
206.014,84,
206.062,104,
206.11,95,
206.158,96,
206.207,124,
206.255,92,
206.303,88,
206.351,74,
206.399,69,
206.447,113,
206.495,80,
206.543,100,
206.591,91,
206.639,72,
206.687,97,
206.735,72,
206.783,65,
206.831,77,
206.879,87,
206.927,72,
206.975,76,
207.023,144,
207.071,85,
207.119,108,
207.167,104,
207.215,100,
207.263,77,
207.311,144,
207.359,84,
207.407,99,
207.455,104,
207.503,142,
207.551,100,
207.599,93,
207.646,104,
207.694,95,
207.742,73,
207.79,88,
207.838,88,
207.886,154,
207.934,126,
207.982,78,
208.03,97,
208.077,103,
208.125,106,
208.173,84,
208.221,107,
208.269,77,
208.317,114,
208.365,77,
208.412,83,
208.46,113,
208.508,113,
208.556,109,
208.604,129,
208.651,101,
208.699,112,
208.747,93,
208.795,43,
208.843,76,
208.89,75,
208.938,107,
208.986,96,
209.034,79,
209.081,106,
209.129,102,
209.177,125,
209.225,113,
209.272,108,
209.32,108,
209.368,116,
209.415,93,
209.463,122,
209.511,70,
209.559,75,
209.606,111,
209.654,79,
209.702,115,
209.749,111,
209.797,82,
209.845,106,
209.892,104,
209.94,162,
209.988,99,
210.035,81,
210.083,69,
210.13,149,
210.178,117,
210.226,156,
210.273,117,
210.321,117,
210.368,68,
210.416,102,
210.464,102,
210.511,120,
210.559,119,
210.606,144,
210.654,117,
210.701,131,
210.749,107,
210.797,118,
210.844,139,
210.892,109,
210.939,108,
210.987,104,
211.034,120,
211.082,142,
211.129,102,
211.177,127,
211.224,142,
211.272,136,
211.319,135,
211.367,131,
211.414,129,
211.462,176,
211.509,151,
211.556,139,
211.604,122,
211.651,154,
211.699,125,
211.746,127,
211.794,149,
211.841,160,
211.889,123,
211.936,146,
211.983,151,
212.031,142,
212.078,169,
212.125,177,
212.173,210,
212.22,225,
212.268,270,
212.315,429,
212.362,654,
212.41,902,
212.457,1135,
212.504,773,
212.552,461,
212.599,324,
212.646,242,
212.694,191,
212.741,210,
212.788,174,
212.836,197,
212.883,169,
212.93,169,
212.977,144,
213.025,185,
213.072,139,
213.119,135,
213.167,183,
213.214,181,
213.261,165,
213.308,189,
213.356,162,
213.403,199,
213.45,147,
213.497,186,
213.544,188,
213.592,169,
213.639,163,
213.686,186,
213.733,170,
213.78,170,
213.828,196,
213.875,197,
213.922,184,
213.969,229,
214.016,113,
214.063,160,
214.111,177,
214.158,127,
214.205,122,
214.252,170,
214.299,144,
214.346,143,
214.393,188,
214.44,215,
214.488,140,
214.535,159,
214.582,206,
214.629,190,
214.676,176,
214.723,155,
214.77,201,
214.817,190,
214.864,194,
214.911,153,
214.958,187,
215.005,206,
215.052,203,
215.099,174,
215.146,185,
215.193,158,
215.24,152,
215.287,202,
215.334,230,
215.381,208,
215.428,179,
215.475,170,
215.522,165,
215.569,181,
215.616,171,
215.663,165,
215.71,209,
215.757,167,
215.804,183,
215.851,179,
215.898,210,
215.945,215,
215.992,169,
216.039,211,
216.085,222,
216.132,158,
216.179,165,
216.226,166,
216.273,155,
216.32,217,
216.367,177,
216.414,186,
216.461,174,
216.507,178,
216.554,217,
216.601,199,
216.648,285,
216.695,245,
216.742,259,
216.788,258,
216.835,171,
216.882,181,
216.929,183,
216.976,235,
217.022,196,
217.069,214,
217.116,203,
