ReocrdTime: _20250426_124851
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,17,
195.938,17,
195.987,27,
196.037,43,
196.086,46,
196.135,16,
196.184,20,
196.233,47,
196.283,34,
196.332,19,
196.381,31,
196.43,13,
196.479,45,
196.529,39,
196.578,36,
196.627,27,
196.676,45,
196.725,40,
196.774,45,
196.824,9,
196.873,23,
196.922,55,
196.971,32,
197.02,31,
197.069,4,
197.118,48,
197.168,12,
197.217,18,
197.266,11,
197.315,37,
197.364,23,
197.413,48,
197.462,31,
197.511,39,
197.56,66,
197.609,23,
197.658,25,
197.707,25,
197.756,45,
197.805,40,
197.854,35,
197.904,24,
197.953,25,
198.002,16,
198.051,27,
198.1,8,
198.149,49,
198.198,52,
198.247,34,
198.296,25,
198.345,58,
198.393,27,
198.442,52,
198.491,47,
198.54,42,
198.589,16,
198.638,36,
198.687,54,
198.736,81,
198.785,66,
198.834,77,
198.883,56,
198.932,109,
198.981,82,
199.03,61,
199.079,57,
199.127,47,
199.176,43,
199.225,41,
199.274,40,
199.323,29,
199.372,49,
199.421,66,
199.47,21,
199.518,51,
199.567,34,
199.616,42,
199.665,38,
199.714,56,
199.763,61,
199.811,18,
199.86,35,
199.909,18,
199.958,43,
200.007,40,
200.055,32,
200.104,45,
200.153,27,
200.202,38,
200.25,29,
200.299,57,
200.348,32,
200.397,40,
200.445,59,
200.494,40,
200.543,50,
200.592,24,
200.64,29,
200.689,38,
200.738,36,
200.787,69,
200.835,43,
200.884,22,
200.933,70,
200.981,43,
201.03,39,
201.079,51,
201.127,54,
201.176,66,
201.225,78,
201.273,59,
201.322,56,
201.371,48,
201.419,76,
201.468,84,
201.516,74,
201.565,29,
201.614,43,
201.662,46,
201.711,52,
201.759,25,
201.808,-4,
201.857,62,
201.905,49,
201.954,83,
202.002,55,
202.051,48,
202.099,72,
202.148,44,
202.197,63,
202.245,56,
202.294,18,
202.342,47,
202.391,44,
202.439,77,
202.488,52,
202.536,101,
202.585,60,
202.633,80,
202.682,61,
202.73,63,
202.779,57,
202.827,83,
202.876,25,
202.924,46,
202.973,57,
203.021,37,
203.069,40,
203.118,84,
203.166,57,
203.215,65,
203.263,52,
203.312,66,
203.36,70,
203.408,65,
203.457,36,
203.505,22,
203.554,11,
203.602,49,
203.65,18,
203.699,83,
203.747,49,
203.795,86,
203.844,47,
203.892,41,
203.941,92,
203.989,97,
204.037,60,
204.086,54,
204.134,60,
204.182,61,
204.23,54,
204.279,43,
204.327,64,
204.375,59,
204.424,52,
204.472,83,
204.52,69,
204.569,72,
204.617,76,
204.665,41,
204.713,67,
204.762,83,
204.81,45,
204.858,90,
204.906,76,
204.955,84,
205.003,68,
205.051,72,
205.099,75,
205.147,102,
205.196,59,
205.244,86,
205.292,63,
205.34,59,
205.388,102,
205.437,80,
205.485,95,
205.533,91,
205.581,66,
205.629,61,
205.677,85,
205.725,97,
205.774,73,
205.822,119,
205.87,63,
205.918,81,
205.966,100,
206.014,73,
206.062,97,
206.11,75,
206.158,88,
206.207,94,
206.255,81,
206.303,88,
206.351,65,
206.399,78,
206.447,102,
206.495,88,
206.543,86,
206.591,93,
206.639,73,
206.687,90,
206.735,58,
206.783,67,
206.831,93,
206.879,76,
206.927,88,
206.975,90,
207.023,126,
207.071,54,
207.119,85,
207.167,84,
207.215,89,
207.263,91,
207.311,126,
207.359,66,
207.407,103,
207.455,120,
207.503,102,
207.551,102,
207.599,67,
207.646,133,
207.694,84,
207.742,81,
207.79,104,
207.838,82,
207.886,86,
207.934,94,
207.982,79,
208.03,111,
208.077,122,
208.125,74,
208.173,111,
208.221,93,
208.269,97,
208.317,136,
208.365,84,
208.412,105,
208.46,95,
208.508,107,
208.556,98,
208.604,132,
208.651,113,
208.699,106,
208.747,79,
208.795,55,
208.843,113,
208.89,100,
208.938,165,
208.986,89,
209.034,84,
209.081,81,
209.129,109,
209.177,93,
209.225,151,
209.272,118,
209.32,109,
209.368,91,
209.415,79,
209.463,143,
209.511,111,
209.559,98,
209.606,122,
209.654,133,
209.702,115,
209.749,122,
209.797,113,
209.845,117,
209.892,126,
209.94,128,
209.988,102,
210.035,99,
210.083,69,
210.13,136,
210.178,165,
210.226,135,
210.273,151,
210.321,139,
210.368,47,
210.416,108,
210.464,145,
210.511,153,
210.559,113,
210.606,187,
210.654,136,
210.701,153,
210.749,122,
210.797,150,
210.844,131,
210.892,145,
210.939,72,
210.987,126,
211.034,104,
211.082,124,
211.129,115,
211.177,140,
211.224,144,
211.272,158,
211.319,135,
211.367,111,
211.414,165,
211.462,163,
211.509,122,
211.556,127,
211.604,124,
211.651,131,
211.699,136,
211.746,134,
211.794,140,
211.841,138,
211.889,149,
211.936,171,
211.983,113,
212.031,151,
212.078,149,
212.125,167,
212.173,148,
212.22,176,
212.268,158,
212.315,282,
212.362,387,
212.41,490,
212.457,479,
212.504,328,
212.552,257,
212.599,193,
212.646,186,
212.694,152,
212.741,170,
212.788,176,
212.836,208,
212.883,154,
212.93,162,
212.977,128,
213.025,189,
213.072,110,
213.119,165,
213.167,172,
213.214,193,
213.261,122,
213.308,208,
213.356,173,
213.403,178,
213.45,124,
213.497,124,
213.544,136,
213.592,147,
213.639,156,
213.686,185,
213.733,150,
213.78,142,
213.828,151,
213.875,153,
213.922,172,
213.969,145,
214.016,140,
214.063,170,
214.111,141,
214.158,150,
214.205,140,
214.252,147,
214.299,106,
214.346,172,
214.393,204,
214.44,188,
214.488,151,
214.535,151,
214.582,177,
214.629,180,
214.676,149,
214.723,156,
214.77,194,
214.817,178,
214.864,197,
214.911,171,
214.958,169,
215.005,178,
215.052,170,
215.099,158,
215.146,178,
215.193,167,
215.24,179,
215.287,192,
215.334,178,
215.381,165,
215.428,196,
215.475,160,
215.522,152,
215.569,150,
215.616,151,
215.663,180,
215.71,154,
215.757,129,
215.804,173,
215.851,174,
215.898,165,
215.945,160,
215.992,165,
216.039,193,
216.085,219,
216.132,156,
216.179,161,
216.226,184,
216.273,139,
216.32,183,
216.367,188,
216.414,195,
216.461,175,
216.507,182,
216.554,195,
216.601,188,
216.648,207,
216.695,235,
216.742,198,
216.788,253,
216.835,174,
216.882,152,
216.929,178,
216.976,192,
217.022,189,
217.069,174,
217.116,140,
217.163,148,
217.209,172,
217.256,212,
217.303,224,
217.35,166,
217.396,267,
217.443,224,
217.49,195,
217.537,244,
217.583,251,
217.63,150,
217.677,188,
217.724,149,
217.77,187,
217.817,217,
217.864,178,
217.91,172,
217.957,135,
218.004,226,
218.05,215,
218.097,150,
218.144,156,
218.19,181,
218.237,179,
218.283,169,
218.33,199,
218.377,180,
218.423,181,
218.47,179,
218.517,163,
218.563,221,
218.61,192,
218.656,242,
218.703,199,
218.75,194,
218.796,216,
218.843,255,
218.889,266,
218.936,172,
218.982,169,
219.029,205,
219.075,213,
219.122,174,
219.168,242,
219.215,195,
219.261,215,
219.308,201,
219.354,246,
219.401,241,
219.447,258,
219.494,185,
219.54,172,
219.587,174,
219.633,210,
219.68,224,
219.726,219,
219.773,193,
219.819,167,
219.866,280,
219.912,228,
219.958,231,
220.005,194,
220.051,201,
220.098,213,
220.144,235,
220.19,194,
220.237,267,
220.283,206,
220.33,212,
220.376,192,
220.422,217,
220.469,277,
220.515,253,
220.561,258,
220.608,255,
220.654,219,
220.7,211,
220.747,319,
220.793,310,
220.839,359,
220.886,362,
220.932,350,
220.978,378,
221.025,434,
221.071,516,
221.117,506,
221.163,635,
221.21,443,
221.256,403,
221.302,328,
221.348,232,
221.395,273,
221.441,262,
221.487,237,
221.533,278,
221.58,258,
221.626,362,
221.672,547,
221.718,553,
221.764,501,
221.811,455,
221.857,409,
221.903,310,
221.949,253,
221.995,285,
222.041,230,
222.088,269,
222.134,234,
222.18,253,
222.226,215,
222.272,226,
222.318,253,
222.364,206,
222.411,170,
222.457,224,
222.503,260,
222.549,203,
222.595,262,
222.641,193,
222.687,234,
222.733,202,
222.779,227,
222.825,207,
222.871,247,
222.917,252,
222.963,271,
223.009,197,
223.055,245,
223.102,289,
223.148,199,
223.194,235,
223.24,234,
223.286,203,
223.332,204,
223.378,247,
223.424,257,
223.469,190,
223.515,192,
223.561,276,
223.607,219,
223.653,165,
223.699,267,
223.745,244,
223.791,167,
223.837,242,
223.883,221,
223.929,266,
223.975,198,
224.021,228,
224.067,181,
224.113,283,
224.158,239,
224.204,213,
224.25,274,
224.296,171,
224.342,269,
224.388,256,
224.434,233,
224.48,223,
224.525,249,
224.571,244,
224.617,219,
224.663,254,
224.709,228,
224.754,208,
224.8,228,
224.846,194,
224.892,225,
224.938,219,
224.983,203,
225.029,233,
225.075,213,
225.121,217,
225.167,221,
225.212,226,
225.258,203,
225.304,230,
225.35,226,
225.395,226,
225.441,231,
225.487,255,
225.532,224,
225.578,188,
225.624,220,
225.67,222,
225.715,253,
225.761,267,
225.807,260,
225.852,221,
225.898,273,
225.944,260,
225.989,287,
226.035,276,
226.08,260,
226.126,317,
226.172,242,
226.217,299,
226.263,334,
226.309,364,
226.354,391,
226.4,454,
226.445,378,
226.491,362,
226.537,321,
226.582,294,
226.628,217,
226.673,244,
226.719,277,
226.764,317,
226.81,305,
226.855,370,
226.901,459,
226.947,558,
226.992,617,
227.038,504,
227.083,347,
227.129,298,
227.174,269,
227.22,242,
227.265,305,
227.311,324,
227.356,273,
227.402,249,
227.447,201,
227.492,274,
227.538,221,
227.583,283,
227.629,280,
227.674,272,
227.72,264,
227.765,242,
227.81,228,
227.856,287,
227.901,287,
227.947,219,
227.992,208,
228.037,216,
228.083,267,
228.128,318,
228.174,227,
228.219,280,
228.264,256,
228.31,200,
228.355,242,
228.4,257,
228.446,256,
228.491,296,
228.536,262,
228.582,258,
228.627,301,
228.672,224,
228.717,249,
228.763,220,
228.808,229,
228.853,300,
228.899,256,
228.944,319,
228.989,273,
229.034,279,
229.08,300,
229.125,348,
229.17,281,
229.215,280,
229.261,297,
229.306,292,
229.351,271,
229.396,341,
229.441,303,
229.487,425,
229.532,342,
229.577,459,
229.622,454,
229.667,468,
229.712,443,
229.758,432,
229.803,352,
229.848,344,
229.893,303,
229.938,355,
229.983,313,
230.028,273,
230.074,255,
230.119,285,
230.164,260,
230.209,264,
230.254,312,
230.299,247,
230.344,278,
230.389,323,
230.434,273,
230.479,303,
230.524,304,
230.569,195,
230.614,317,
230.66,278,
230.705,256,
230.75,297,
230.795,267,
230.84,316,
230.885,285,
230.93,307,
230.975,285,
231.02,237,
231.065,259,
231.11,298,
231.155,257,
231.199,298,
231.244,272,
231.289,272,
231.334,295,
231.379,330,
231.424,314,
231.469,305,
231.514,275,
231.559,280,
231.604,296,
231.649,205,
231.694,281,
231.739,262,
231.783,235,
231.828,305,
231.873,265,
231.918,330,
231.963,290,
232.008,363,
232.053,226,
232.098,269,
232.142,247,
232.187,276,
232.232,303,
232.277,339,
232.322,226,
232.366,269,
232.411,260,
232.456,274,
232.501,312,
232.546,258,
232.59,215,
232.635,281,
232.68,257,
232.725,360,
232.769,294,
232.814,264,
232.859,287,
232.904,240,
232.948,267,
232.993,283,
233.038,257,
233.083,258,
233.127,280,
233.172,251,
233.217,358,
233.261,398,
233.306,323,
233.351,398,
233.395,310,
233.44,285,
233.485,278,
233.529,278,
233.574,247,
233.619,274,
233.663,298,
233.708,280,
233.752,277,
233.797,343,
233.842,394,
233.886,326,
233.931,287,
233.975,300,
234.02,324,
234.065,271,
234.109,260,
234.154,303,
234.198,267,
234.243,315,
234.287,296,
234.332,477,
234.377,446,
234.421,497,
234.466,404,
234.51,390,
234.555,352,
234.599,357,
234.644,288,
234.688,296,
234.733,290,
234.777,344,
234.822,438,
234.866,414,
234.91,394,
234.955,346,
234.999,348,
235.044,321,
235.088,297,
235.133,264,
235.177,303,
235.221,373,
235.266,300,
235.31,293,
235.355,294,
235.399,224,
235.443,280,
235.488,278,
235.532,307,
235.577,344,
235.621,278,
235.665,278,
235.71,332,
235.754,337,
235.798,271,
235.843,325,
235.887,368,
235.931,346,
235.976,382,
236.02,355,
236.064,398,
236.109,325,
236.153,323,
236.197,326,
236.241,330,
236.286,307,
236.33,330,
236.374,361,
236.418,348,
236.463,393,
236.507,435,
236.551,435,
236.595,449,
236.64,393,
236.684,556,
236.728,753,
236.772,861,
236.816,762,
236.861,559,
236.905,400,
236.949,461,
236.993,457,
237.037,479,
237.082,445,
237.126,462,
237.17,454,
237.214,518,
237.258,671,
237.302,897,
237.346,1097,
237.39,1090,
237.435,861,
237.479,679,
237.523,486,
237.567,442,
237.611,400,
237.655,396,
237.699,373,
237.743,373,
237.787,391,
237.831,405,
237.875,434,
237.919,396,
237.963,269,
238.008,412,
238.052,407,
238.096,363,
238.14,420,
238.184,751,
238.228,755,
238.272,803,
238.316,554,
238.36,507,
238.404,440,
238.447,345,
238.491,366,
238.535,301,
238.579,353,
238.623,373,
238.667,388,
238.711,278,
238.755,332,
238.799,337,
238.843,467,
238.887,486,
238.931,443,
238.975,416,
239.019,328,
239.062,334,
239.106,391,
239.15,326,
239.194,287,
239.238,360,
239.282,318,
239.326,353,
239.369,313,
239.413,282,
239.457,317,
239.501,377,
239.545,612,
239.589,644,
239.632,706,
239.676,493,
239.72,391,
239.764,344,
239.807,400,
239.851,346,
239.895,422,
239.939,375,
239.983,425,
240.026,411,
240.07,367,
240.114,350,
240.158,292,
240.201,219,
240.245,276,
240.289,334,
240.332,309,
240.376,359,
240.42,318,
240.463,567,
240.507,542,
240.551,582,
240.594,428,
240.638,455,
240.682,448,
240.725,402,
240.769,316,
240.813,346,
240.856,310,
240.9,303,
240.944,260,
240.987,283,
241.031,419,
241.074,511,
241.118,549,
241.162,432,
241.205,439,
241.249,356,
241.292,385,
241.336,379,
241.379,362,
241.423,255,
241.466,334,
241.51,255,
241.554,332,
241.597,296,
241.641,305,
241.684,330,
241.728,327,
241.771,353,
241.815,331,
241.858,320,
241.902,305,
241.945,256,
241.989,284,
242.032,263,
242.075,328,
242.119,319,
242.162,282,
242.206,278,
242.249,296,
242.293,240,
242.336,333,
242.379,369,
242.423,265,
242.466,319,
242.51,312,
242.553,310,
242.596,337,
242.64,272,
242.683,280,
242.727,289,
242.77,282,
242.813,316,
242.857,319,
242.9,296,
242.943,289,
242.987,371,
243.03,395,
243.073,330,
243.116,292,
243.16,372,
243.203,274,
243.246,317,
243.29,404,
243.333,301,
243.376,353,
243.419,373,
243.463,542,
243.506,804,
243.549,904,
243.592,783,
243.636,428,
243.679,377,
243.722,346,
243.765,285,
243.809,320,
243.852,339,
243.895,356,
243.938,391,
243.981,310,
244.024,351,
244.068,350,
244.111,366,
244.154,312,
244.197,285,
244.24,308,
244.283,312,
244.327,359,
244.37,349,
244.413,368,
244.456,321,
244.499,325,
244.542,378,
244.585,325,
244.628,276,
244.671,290,
244.714,269,
244.757,367,
244.801,350,
244.844,276,
244.887,315,
244.93,253,
244.973,267,
245.016,334,
245.059,287,
245.102,233,
245.145,294,
245.188,303,
245.231,312,
245.274,298,
245.317,320,
245.36,282,
245.403,258,
245.446,266,
245.489,305,
245.532,269,
245.575,305,
245.617,236,
245.66,281,
245.703,331,
245.746,291,
245.789,366,
245.832,303,
245.875,312,
245.918,303,
245.961,319,
246.004,307,
246.047,315,
246.089,294,
246.132,276,
246.175,308,
246.218,350,
246.261,344,
246.304,336,
246.347,360,
246.389,344,
246.432,301,
246.475,377,
246.518,371,
246.561,362,
246.603,312,
246.646,278,
246.689,298,
246.732,319,
246.775,310,
246.817,321,
246.86,305,
246.903,296,
246.946,382,
246.988,364,
247.031,376,
247.074,301,
247.116,348,
247.159,337,
247.202,269,
247.245,314,
247.287,402,
247.33,445,
247.373,335,
247.415,337,
247.458,324,
247.501,352,
247.543,333,
247.586,332,
247.629,361,
247.671,366,
247.714,456,
247.756,547,
247.799,787,
247.842,2218,
247.884,2705,
247.927,2723,
247.97,1438,
248.012,1051,
248.055,710,
248.097,466,
248.14,434,
248.182,395,
248.225,384,
248.267,461,
248.31,584,
248.353,653,
248.395,529,
248.438,553,
248.48,450,
248.523,378,
248.565,382,
248.608,311,
248.65,375,
248.693,385,
248.735,385,
248.778,443,
248.82,474,
248.863,555,
248.905,436,
248.947,376,
248.99,411,
249.032,490,
249.075,540,
249.117,561,
249.16,494,
249.202,409,
249.244,404,
249.287,342,
249.329,426,
249.372,351,
249.414,446,
249.456,353,
249.499,319,
249.541,296,
249.583,278,
249.626,372,
249.668,337,
249.71,337,
249.753,332,
249.795,389,
249.837,361,
249.88,348,
249.922,434,
249.964,379,
250.007,248,
250.049,308,
250.091,384,
250.133,380,
250.176,330,
250.218,318,
250.26,373,
250.302,335,
250.345,330,
250.387,347,
250.429,325,
250.471,362,
250.513,287,
250.556,314,
250.598,373,
250.64,717,
250.682,1465,
250.724,1698,
250.767,1447,
250.809,748,
250.851,623,
250.893,435,
250.935,427,
250.977,393,
251.019,375,
251.062,410,
251.104,466,
251.146,499,
251.188,450,
251.23,452,
251.272,449,
251.314,340,
251.356,432,
251.398,947,
251.44,1492,
251.483,1689,
251.525,1287,
251.567,1409,
251.609,2602,
251.651,2956,
251.693,2240,
251.735,1151,
251.777,892,
251.819,608,
251.861,710,
251.903,1121,
251.945,1399,
251.987,1304,
252.029,762,
252.071,593,
252.113,481,
252.155,427,
252.197,354,
252.239,461,
252.281,560,
252.322,639,
252.364,924,
252.406,1519,
252.448,1808,
252.49,1462,
252.532,811,
252.574,714,
252.616,459,
252.658,493,
252.7,416,
252.741,542,
252.783,678,
252.825,1285,
252.867,1766,
252.909,1731,
252.951,1135,
252.993,752,
253.034,563,
253.076,563,
253.118,420,
253.16,352,
253.202,361,
253.243,407,
253.285,414,
253.327,405,
253.369,413,
253.41,376,
253.452,387,
253.494,454,
253.536,409,
253.577,400,
253.619,409,
253.661,303,
253.703,308,
253.744,407,
253.786,389,
253.828,307,
253.87,380,
253.911,373,
253.953,352,
253.995,355,
254.036,285,
254.078,346,
254.12,362,
254.161,387,
254.203,402,
254.244,366,
254.286,354,
254.328,374,
254.369,315,
254.411,312,
254.453,336,
254.494,241,
254.536,302,
254.577,362,
254.619,339,
