ReocrdTime: _20250426_130806
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,19,
195.938,19,
195.987,13,
196.037,25,
196.086,16,
196.135,18,
196.184,22,
196.233,31,
196.283,19,
196.332,45,
196.381,45,
196.43,-2,
196.479,29,
196.529,1,
196.578,22,
196.627,15,
196.676,43,
196.725,36,
196.774,36,
196.824,19,
196.873,17,
196.922,43,
196.971,36,
197.02,6,
197.069,8,
197.118,23,
197.168,16,
197.217,47,
197.266,27,
197.315,44,
197.364,14,
197.413,16,
197.462,-3,
197.511,27,
197.56,21,
197.609,5,
197.658,27,
197.707,16,
197.756,34,
197.805,36,
197.854,21,
197.904,11,
197.953,13,
198.002,21,
198.051,30,
198.1,17,
198.149,9,
198.198,41,
198.247,27,
198.296,38,
198.345,36,
198.393,-4,
198.442,38,
198.491,36,
198.54,49,
198.589,46,
198.638,25,
198.687,34,
198.736,48,
198.785,32,
198.834,41,
198.883,52,
198.932,61,
198.981,77,
199.03,36,
199.079,41,
199.127,20,
199.176,29,
199.225,11,
199.274,20,
199.323,-25,
199.372,23,
199.421,27,
199.47,14,
199.518,31,
199.567,25,
199.616,29,
199.665,25,
199.714,17,
199.763,54,
199.811,20,
199.86,53,
199.909,13,
199.958,27,
200.007,20,
200.055,43,
200.104,61,
200.153,11,
200.202,36,
200.25,9,
200.299,27,
200.348,32,
200.397,20,
200.445,50,
200.494,26,
200.543,46,
200.592,38,
200.64,9,
200.689,22,
200.738,27,
200.787,47,
200.835,13,
200.884,2,
200.933,18,
200.981,22,
201.03,36,
201.079,40,
201.127,43,
201.176,69,
201.225,57,
201.273,32,
201.322,2,
201.371,38,
201.419,32,
201.468,30,
201.516,40,
201.565,33,
201.614,70,
201.662,53,
201.711,11,
201.759,18,
201.808,4,
201.857,53,
201.905,47,
201.954,77,
202.002,52,
202.051,28,
202.099,31,
202.148,21,
202.197,30,
202.245,61,
202.294,30,
202.342,42,
202.391,19,
202.439,50,
202.488,41,
202.536,58,
202.585,38,
202.633,48,
202.682,50,
202.73,61,
202.779,32,
202.827,56,
202.876,37,
202.924,39,
202.973,54,
203.021,32,
203.069,52,
203.118,39,
203.166,45,
203.215,42,
203.263,52,
203.312,45,
203.36,58,
203.408,41,
203.457,38,
203.505,45,
203.554,2,
203.602,25,
203.65,42,
203.699,41,
203.747,29,
203.795,54,
203.844,47,
203.892,52,
203.941,90,
203.989,67,
204.037,31,
204.086,86,
204.134,42,
204.182,45,
204.23,64,
204.279,50,
204.327,61,
204.375,46,
204.424,54,
204.472,33,
204.52,42,
204.569,34,
204.617,47,
204.665,59,
204.713,60,
204.762,83,
204.81,33,
204.858,54,
204.906,54,
204.955,57,
205.003,54,
205.051,74,
205.099,23,
205.147,66,
205.196,31,
205.244,75,
205.292,70,
205.34,82,
205.388,86,
205.437,46,
205.485,52,
205.533,44,
205.581,52,
205.629,64,
205.677,85,
205.725,36,
205.774,80,
205.822,84,
205.87,56,
205.918,52,
205.966,100,
206.014,114,
206.062,70,
206.11,63,
206.158,92,
206.207,61,
206.255,25,
206.303,79,
206.351,85,
206.399,52,
206.447,109,
206.495,62,
206.543,97,
206.591,77,
206.639,41,
206.687,45,
206.735,61,
206.783,58,
206.831,75,
206.879,79,
206.927,72,
206.975,60,
207.023,103,
207.071,65,
207.119,85,
207.167,73,
207.215,111,
207.263,77,
207.311,85,
207.359,57,
207.407,67,
207.455,81,
207.503,77,
207.551,68,
207.599,56,
207.646,91,
207.694,46,
207.742,61,
207.79,87,
207.838,79,
207.886,88,
207.934,81,
207.982,40,
208.03,97,
208.077,59,
208.125,77,
208.173,65,
208.221,59,
208.269,65,
208.317,109,
208.365,78,
208.412,87,
208.46,61,
208.508,69,
208.556,82,
208.604,118,
208.651,76,
208.699,63,
208.747,56,
208.795,41,
208.843,99,
208.89,73,
208.938,97,
208.986,53,
209.034,59,
209.081,66,
209.129,91,
209.177,62,
209.225,112,
209.272,84,
209.32,81,
209.368,79,
209.415,75,
209.463,158,
209.511,86,
209.559,59,
209.606,102,
209.654,72,
209.702,82,
209.749,95,
209.797,68,
209.845,102,
209.892,84,
209.94,86,
209.988,128,
210.035,70,
210.083,63,
210.13,106,
210.178,90,
210.226,118,
210.273,110,
210.321,103,
210.368,66,
210.416,70,
210.464,129,
210.511,115,
210.559,101,
210.606,102,
210.654,86,
210.701,95,
210.749,102,
210.797,91,
210.844,112,
210.892,88,
210.939,77,
210.987,108,
211.034,75,
211.082,126,
211.129,83,
211.177,106,
211.224,130,
211.272,110,
211.319,84,
211.367,95,
211.414,133,
211.462,137,
211.509,124,
211.556,107,
211.604,104,
211.651,118,
211.699,102,
211.746,108,
211.794,92,
211.841,135,
211.889,136,
211.936,103,
211.983,90,
212.031,106,
212.078,104,
212.125,113,
212.173,113,
212.22,101,
212.268,122,
212.315,160,
212.362,150,
212.41,275,
212.457,280,
212.504,202,
212.552,153,
212.599,125,
212.646,118,
212.694,98,
212.741,123,
212.788,97,
212.836,152,
212.883,126,
212.93,135,
212.977,108,
213.025,139,
213.072,99,
213.119,106,
213.167,153,
213.214,131,
213.261,133,
213.308,106,
213.356,108,
213.403,119,
213.45,127,
213.497,129,
213.544,129,
213.592,130,
213.639,118,
213.686,127,
213.733,140,
213.78,126,
213.828,129,
213.875,131,
213.922,102,
213.969,134,
214.016,109,
214.063,145,
214.111,133,
214.158,140,
214.205,99,
214.252,118,
214.299,103,
214.346,166,
214.393,168,
214.44,177,
214.488,108,
214.535,104,
214.582,147,
214.629,162,
214.676,113,
214.723,112,
214.77,137,
214.817,174,
214.864,116,
214.911,122,
214.958,167,
215.005,135,
215.052,135,
215.099,117,
215.146,143,
215.193,140,
215.24,139,
215.287,172,
215.334,158,
215.381,132,
215.428,131,
215.475,120,
215.522,129,
215.569,141,
215.616,108,
215.663,149,
215.71,120,
215.757,127,
215.804,146,
215.851,123,
215.898,147,
215.945,129,
215.992,115,
216.039,141,
216.085,163,
216.132,111,
216.179,147,
216.226,100,
216.273,110,
216.32,128,
216.367,131,
216.414,181,
216.461,147,
216.507,117,
216.554,161,
216.601,156,
216.648,167,
216.695,177,
216.742,194,
216.788,187,
216.835,128,
216.882,122,
216.929,135,
216.976,158,
217.022,128,
217.069,138,
217.116,103,
217.163,161,
217.209,154,
217.256,188,
217.303,163,
217.35,145,
217.396,168,
217.443,181,
217.49,167,
217.537,166,
217.583,206,
217.63,131,
217.677,136,
217.724,118,
217.77,131,
217.817,181,
217.864,110,
217.91,129,
217.957,165,
218.004,154,
218.05,151,
218.097,147,
218.144,117,
218.19,114,
218.237,108,
218.283,169,
218.33,138,
218.377,160,
218.423,122,
218.47,148,
218.517,136,
218.563,178,
218.61,165,
218.656,140,
218.703,170,
218.75,140,
218.796,199,
218.843,195,
218.889,203,
218.936,145,
218.982,191,
219.029,131,
219.075,183,
219.122,153,
219.168,174,
219.215,163,
219.261,201,
219.308,197,
219.354,194,
219.401,206,
219.447,186,
219.494,153,
219.54,140,
219.587,168,
219.633,183,
219.68,169,
219.726,145,
219.773,188,
219.819,138,
219.866,179,
219.912,206,
219.958,190,
220.005,160,
220.051,160,
220.098,190,
220.144,194,
220.19,174,
220.237,211,
220.283,170,
220.33,156,
220.376,151,
220.422,183,
220.469,228,
220.515,181,
220.561,167,
220.608,172,
220.654,206,
220.7,150,
220.747,179,
220.793,220,
220.839,228,
220.886,256,
220.932,233,
220.978,253,
221.025,309,
221.071,375,
221.117,329,
221.163,373,
221.21,277,
221.256,285,
221.302,238,
221.348,194,
221.395,186,
221.441,179,
221.487,180,
221.533,235,
221.58,177,
221.626,226,
221.672,350,
221.718,350,
221.764,289,
221.811,298,
221.857,283,
221.903,211,
221.949,194,
221.995,228,
222.041,187,
222.088,206,
222.134,174,
222.18,167,
222.226,172,
222.272,179,
222.318,190,
222.364,151,
222.411,122,
222.457,167,
222.503,211,
222.549,194,
222.595,229,
222.641,186,
222.687,217,
222.733,200,
222.779,165,
222.825,174,
222.871,186,
222.917,233,
222.963,178,
223.009,175,
223.055,220,
223.102,181,
223.148,190,
223.194,170,
223.24,201,
223.286,188,
223.332,211,
223.378,247,
223.424,180,
223.469,210,
223.515,181,
223.561,215,
223.607,189,
223.653,151,
223.699,194,
223.745,206,
223.791,146,
223.837,192,
223.883,133,
223.929,199,
223.975,162,
224.021,206,
224.067,133,
224.113,222,
224.158,183,
224.204,172,
224.25,238,
224.296,148,
224.342,178,
224.388,186,
224.434,199,
224.48,164,
224.525,147,
224.571,222,
224.617,157,
224.663,211,
224.709,194,
224.754,161,
224.8,167,
224.846,156,
224.892,216,
224.938,193,
224.983,185,
225.029,185,
225.075,163,
225.121,224,
225.167,156,
225.212,167,
225.258,212,
225.304,183,
225.35,219,
225.395,161,
225.441,240,
225.487,237,
225.532,179,
225.578,174,
225.624,179,
225.67,170,
225.715,197,
225.761,190,
225.807,217,
225.852,191,
225.898,208,
225.944,197,
225.989,229,
226.035,221,
226.08,147,
226.126,208,
226.172,208,
226.217,204,
226.263,224,
226.309,292,
226.354,289,
226.4,299,
226.445,326,
226.491,275,
226.537,233,
226.582,244,
226.628,150,
226.673,210,
226.719,203,
226.764,235,
226.81,224,
226.855,267,
226.901,288,
226.947,373,
226.992,450,
227.038,313,
227.083,284,
227.129,244,
227.174,249,
227.22,195,
227.265,203,
227.311,278,
227.356,215,
227.402,215,
227.447,186,
227.492,211,
227.538,189,
227.583,199,
227.629,213,
227.674,242,
227.72,189,
227.765,184,
227.81,208,
227.856,205,
227.901,170,
227.947,182,
227.992,176,
228.037,210,
228.083,224,
228.128,171,
228.174,211,
228.219,185,
228.264,210,
228.31,172,
228.355,199,
228.4,205,
228.446,213,
228.491,237,
228.536,249,
228.582,256,
228.627,235,
228.672,178,
228.717,188,
228.763,199,
228.808,199,
228.853,217,
228.899,279,
228.944,231,
228.989,207,
229.034,225,
229.08,228,
229.125,266,
229.17,177,
229.215,207,
229.261,252,
229.306,239,
229.351,226,
229.396,260,
229.441,205,
229.487,269,
229.532,217,
229.577,266,
229.622,271,
229.667,287,
229.712,262,
229.758,285,
229.803,282,
229.848,312,
229.893,241,
229.938,209,
229.983,221,
230.028,196,
230.074,239,
230.119,244,
230.164,235,
230.209,243,
230.254,228,
230.299,247,
230.344,244,
230.389,254,
230.434,259,
230.479,217,
230.524,234,
230.569,194,
230.614,201,
230.66,253,
230.705,208,
230.75,231,
230.795,210,
230.84,269,
230.885,226,
230.93,249,
230.975,228,
231.02,181,
231.065,200,
231.11,244,
231.155,167,
231.199,251,
231.244,204,
231.289,215,
231.334,229,
231.379,273,
231.424,277,
231.469,214,
231.514,199,
231.559,230,
231.604,267,
231.649,214,
231.694,231,
231.739,213,
231.783,176,
231.828,235,
231.873,244,
231.918,284,
231.963,267,
232.008,277,
232.053,207,
232.098,237,
232.142,195,
232.187,229,
232.232,287,
232.277,263,
232.322,186,
232.366,224,
232.411,234,
232.456,269,
232.501,269,
232.546,217,
232.59,188,
232.635,265,
232.68,224,
232.725,249,
232.769,269,
232.814,165,
232.859,234,
232.904,217,
232.948,224,
232.993,246,
233.038,187,
233.083,212,
