ReocrdTime: _20250426_120717
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,17,
195.938,17,
195.987,15,
196.037,19,
196.086,5,
196.135,19,
196.184,20,
196.233,42,
196.283,10,
196.332,5,
196.381,13,
196.43,45,
196.479,75,
196.529,17,
196.578,15,
196.627,0,
196.676,43,
196.725,54,
196.774,37,
196.824,19,
196.873,1,
196.922,37,
196.971,20,
197.02,13,
197.069,-19,
197.118,12,
197.168,-18,
197.217,4,
197.266,30,
197.315,28,
197.364,14,
197.413,-8,
197.462,-18,
197.511,14,
197.56,30,
197.609,25,
197.658,10,
197.707,24,
197.756,27,
197.805,11,
197.854,28,
197.904,15,
197.953,4,
198.002,1,
198.051,3,
198.1,9,
198.149,5,
198.198,27,
198.247,23,
198.296,11,
198.345,34,
198.393,0,
198.442,38,
198.491,32,
198.54,26,
198.589,-2,
198.638,3,
198.687,38,
198.736,48,
198.785,36,
198.834,38,
198.883,27,
198.932,41,
198.981,70,
199.03,55,
199.079,49,
199.127,14,
199.176,29,
199.225,2,
199.274,31,
199.323,11,
199.372,45,
199.421,-7,
199.47,-2,
199.518,47,
199.567,46,
199.616,67,
199.665,49,
199.714,2,
199.763,20,
199.811,27,
199.86,105,
199.909,39,
199.958,16,
200.007,24,
200.055,28,
200.104,22,
200.153,29,
200.202,29,
200.25,6,
200.299,34,
200.348,34,
200.397,40,
200.445,59,
200.494,13,
200.543,48,
200.592,-3,
200.64,17,
200.689,45,
200.738,48,
200.787,6,
200.835,15,
200.884,4,
200.933,47,
200.981,29,
201.03,27,
201.079,60,
201.127,21,
201.176,52,
201.225,64,
201.273,43,
201.322,4,
201.371,12,
201.419,36,
201.468,55,
201.516,58,
201.565,6,
201.614,65,
201.662,23,
201.711,0,
201.759,21,
201.808,22,
201.857,61,
201.905,29,
201.954,79,
202.002,54,
202.051,41,
202.099,47,
202.148,41,
202.197,25,
202.245,27,
202.294,7,
202.342,56,
202.391,12,
202.439,57,
202.488,19,
202.536,49,
202.585,-3,
202.633,50,
202.682,44,
202.73,31,
202.779,25,
202.827,34,
202.876,54,
202.924,50,
202.973,57,
203.021,23,
203.069,20,
203.118,39,
203.166,63,
203.215,58,
203.263,41,
203.312,61,
203.36,33,
203.408,22,
203.457,31,
203.505,40,
203.554,11,
203.602,20,
203.65,2,
203.699,31,
203.747,38,
203.795,58,
203.844,16,
203.892,41,
203.941,83,
203.989,67,
204.037,43,
204.086,65,
204.134,18,
204.182,31,
204.23,61,
204.279,43,
204.327,52,
204.375,30,
204.424,34,
204.472,61,
204.52,56,
204.569,45,
204.617,63,
204.665,29,
204.713,49,
204.762,40,
204.81,33,
204.858,70,
204.906,38,
204.955,28,
205.003,25,
205.051,67,
205.099,48,
205.147,43,
205.196,50,
205.244,68,
205.292,16,
205.34,39,
205.388,57,
205.437,36,
205.485,56,
205.533,50,
205.581,49,
205.629,21,
205.677,77,
205.725,72,
205.774,71,
205.822,23,
205.87,54,
205.918,22,
205.966,93,
206.014,80,
206.062,68,
206.11,30,
206.158,42,
206.207,61,
206.255,67,
206.303,74,
206.351,54,
206.399,31,
206.447,72,
206.495,82,
206.543,79,
206.591,63,
206.639,21,
206.687,79,
206.735,60,
206.783,58,
206.831,56,
206.879,60,
206.927,47,
206.975,65,
207.023,97,
207.071,40,
207.119,72,
207.167,54,
207.215,48,
207.263,39,
207.311,103,
207.359,57,
207.407,52,
207.455,34,
207.503,49,
207.551,34,
207.599,70,
207.646,79,
207.694,52,
207.742,45,
207.79,45,
207.838,55,
207.886,88,
207.934,85,
207.982,38,
208.03,66,
208.077,59,
208.125,79,
208.173,77,
208.221,45,
208.269,51,
208.317,89,
208.365,109,
208.412,49,
208.46,66,
208.508,68,
208.556,43,
208.604,93,
208.651,54,
208.699,65,
208.747,61,
208.795,54,
208.843,58,
208.89,81,
208.938,71,
208.986,59,
209.034,57,
209.081,70,
209.129,56,
209.177,84,
209.225,72,
209.272,56,
209.32,81,
209.368,71,
209.415,50,
209.463,95,
209.511,90,
209.559,66,
209.606,95,
209.654,25,
209.702,61,
209.749,92,
209.797,82,
209.845,66,
209.892,61,
209.94,77,
209.988,67,
210.035,66,
210.083,45,
210.13,86,
210.178,108,
210.226,56,
210.273,88,
210.321,67,
210.368,27,
210.416,56,
210.464,70,
210.511,92,
210.559,79,
210.606,81,
210.654,68,
210.701,83,
210.749,57,
210.797,78,
210.844,74,
210.892,81,
210.939,90,
210.987,79,
211.034,75,
211.082,106,
211.129,67,
211.177,90,
211.224,90,
211.272,95,
211.319,83,
211.367,81,
211.414,111,
211.462,120,
211.509,79,
211.556,102,
211.604,65,
211.651,80,
211.699,59,
211.746,82,
211.794,86,
211.841,93,
211.889,104,
211.936,83,
211.983,67,
212.031,95,
212.078,92,
212.125,88,
212.173,79,
212.22,106,
212.268,110,
212.315,156,
212.362,118,
212.41,117,
212.457,106,
212.504,84,
212.552,92,
212.599,93,
212.646,90,
212.694,68,
212.741,104,
212.788,108,
212.836,143,
212.883,104,
212.93,74,
212.977,61,
213.025,128,
213.072,63,
213.119,81,
213.167,113,
213.214,96,
213.261,70,
213.308,122,
213.356,97,
213.403,110,
213.45,79,
213.497,115,
213.544,81,
213.592,76,
213.639,109,
213.686,97,
213.733,114,
213.78,108,
213.828,61,
213.875,113,
213.922,107,
213.969,107,
214.016,80,
214.063,99,
214.111,84,
214.158,100,
214.205,83,
214.252,83,
214.299,63,
214.346,66,
214.393,118,
214.44,136,
214.488,101,
214.535,84,
214.582,136,
214.629,120,
214.676,85,
214.723,78,
214.77,95,
214.817,95,
214.864,115,
214.911,115,
214.958,106,
215.005,108,
215.052,81,
215.099,95,
215.146,84,
215.193,83,
215.24,100,
215.287,118,
215.334,122,
215.381,115,
215.428,122,
215.475,113,
215.522,95,
215.569,109,
215.616,77,
215.663,90,
215.71,102,
215.757,109,
215.804,119,
215.851,100,
215.898,99,
215.945,124,
215.992,86,
216.039,136,
216.085,108,
216.132,101,
216.179,100,
216.226,109,
216.273,72,
216.32,137,
216.367,125,
216.414,168,
216.461,116,
216.507,94,
216.554,122,
216.601,123,
216.648,144,
216.695,95,
216.742,113,
216.788,115,
216.835,70,
216.882,50,
216.929,92,
216.976,133,
217.022,85,
217.069,119,
217.116,99,
217.163,102,
217.209,131,
217.256,179,
217.303,140,
217.35,86,
217.396,134,
217.443,115,
217.49,140,
217.537,118,
217.583,156,
217.63,75,
217.677,120,
217.724,100,
217.77,106,
217.817,97,
217.864,87,
217.91,124,
217.957,118,
218.004,138,
218.05,117,
218.097,113,
218.144,52,
218.19,100,
218.237,106,
218.283,117,
218.33,108,
218.377,95,
218.423,99,
218.47,131,
218.517,97,
218.563,138,
218.61,147,
218.656,125,
218.703,109,
218.75,106,
218.796,153,
218.843,145,
218.889,156,
218.936,118,
218.982,99,
219.029,104,
219.075,129,
219.122,124,
219.168,127,
219.215,100,
219.261,134,
219.308,141,
219.354,142,
219.401,135,
219.447,165,
219.494,130,
219.54,106,
219.587,122,
219.633,118,
219.68,115,
219.726,128,
219.773,134,
219.819,84,
219.866,140,
219.912,131,
219.958,186,
220.005,138,
220.051,110,
220.098,114,
220.144,131,
220.19,118,
220.237,133,
220.283,107,
220.33,83,
220.376,106,
220.422,115,
220.469,158,
220.515,114,
220.561,116,
220.608,136,
220.654,110,
220.7,150,
220.747,131,
220.793,154,
220.839,147,
220.886,149,
220.932,108,
220.978,170,
221.025,199,
221.071,159,
221.117,156,
221.163,176,
221.21,174,
221.256,141,
221.302,163,
221.348,113,
221.395,147,
221.441,149,
221.487,115,
221.533,169,
221.58,140,
221.626,134,
221.672,219,
221.718,165,
221.764,153,
221.811,147,
221.857,176,
221.903,147,
221.949,118,
221.995,149,
222.041,165,
222.088,169,
222.134,128,
222.18,138,
222.226,129,
222.272,172,
222.318,151,
222.364,154,
222.411,86,
222.457,113,
222.503,157,
222.549,135,
222.595,175,
222.641,150,
222.687,162,
222.733,166,
222.779,145,
222.825,131,
222.871,177,
222.917,168,
222.963,162,
223.009,163,
223.055,152,
223.102,147,
223.148,152,
223.194,129,
223.24,147,
223.286,131,
223.332,145,
223.378,166,
223.424,128,
223.469,172,
223.515,135,
223.561,143,
223.607,169,
223.653,119,
223.699,160,
223.745,129,
223.791,115,
223.837,161,
223.883,122,
223.929,165,
223.975,119,
224.021,122,
224.067,120,
224.113,204,
224.158,124,
224.204,175,
224.25,186,
224.296,115,
224.342,126,
224.388,141,
224.434,163,
224.48,130,
224.525,145,
224.571,149,
224.617,146,
224.663,152,
224.709,169,
224.754,131,
224.8,109,
224.846,133,
224.892,192,
224.938,149,
224.983,128,
225.029,113,
225.075,113,
225.121,162,
225.167,115,
225.212,115,
225.258,119,
225.304,113,
225.35,146,
225.395,135,
225.441,120,
225.487,172,
225.532,140,
225.578,106,
225.624,118,
225.67,149,
225.715,127,
225.761,143,
225.807,168,
225.852,144,
225.898,154,
225.944,158,
225.989,197,
226.035,178,
226.08,124,
226.126,190,
226.172,111,
226.217,160,
226.263,135,
226.309,172,
226.354,151,
226.4,183,
226.445,152,
226.491,170,
226.537,140,
226.582,167,
226.628,100,
226.673,167,
226.719,119,
226.764,136,
226.81,120,
226.855,126,
226.901,143,
226.947,147,
226.992,201,
227.038,161,
227.083,147,
227.129,158,
227.174,165,
227.22,161,
227.265,153,
227.311,168,
227.356,161,
227.402,158,
227.447,129,
227.492,182,
227.538,144,
227.583,152,
227.629,154,
227.674,149,
227.72,142,
227.765,136,
227.81,146,
227.856,149,
227.901,154,
227.947,115,
227.992,134,
228.037,156,
228.083,156,
228.128,165,
228.174,143,
228.219,177,
228.264,175,
228.31,100,
228.355,183,
228.4,181,
228.446,156,
228.491,174,
228.536,165,
228.582,183,
228.627,201,
228.672,127,
228.717,159,
228.763,156,
228.808,176,
228.853,194,
228.899,186,
228.944,210,
228.989,158,
229.034,156,
229.08,198,
229.125,205,
229.17,150,
229.215,167,
229.261,166,
229.306,188,
229.351,167,
229.396,205,
229.441,187,
229.487,228,
229.532,202,
229.577,278,
229.622,262,
229.667,279,
229.712,246,
229.758,244,
229.803,199,
229.848,240,
229.893,189,
229.938,166,
229.983,198,
230.028,146,
230.074,180,
230.119,168,
230.164,185,
230.209,180,
230.254,189,
230.299,157,
230.344,161,
230.389,202,
230.434,158,
230.479,183,
230.524,187,
230.569,142,
230.614,181,
230.66,187,
230.705,184,
230.75,193,
230.795,158,
230.84,226,
230.885,188,
230.93,190,
230.975,176,
231.02,181,
231.065,167,
231.11,216,
231.155,183,
231.199,244,
231.244,154,
231.289,156,
231.334,179,
231.379,226,
231.424,205,
231.469,196,
231.514,165,
231.559,149,
231.604,145,
231.649,154,
231.694,195,
231.739,163,
231.783,154,
231.828,197,
231.873,149,
231.918,188,
231.963,242,
232.008,237,
232.053,131,
232.098,165,
232.142,154,
232.187,156,
232.232,237,
232.277,206,
232.322,156,
232.366,174,
232.411,163,
232.456,177,
232.501,206,
232.546,142,
232.59,145,
232.635,199,
232.68,169,
232.725,183,
232.769,188,
232.814,149,
232.859,178,
232.904,123,
232.948,156,
232.993,170,
233.038,181,
233.083,192,
233.127,178,
233.172,163,
233.217,235,
233.261,240,
233.306,190,
233.351,176,
233.395,188,
233.44,179,
233.485,195,
233.529,170,
233.574,132,
233.619,160,
233.663,239,
233.708,156,
233.752,191,
233.797,205,
233.842,247,
233.886,190,
233.931,202,
233.975,197,
234.02,202,
234.065,201,
234.109,167,
234.154,208,
234.198,193,
234.243,199,
234.287,165,
234.332,249,
234.377,167,
234.421,222,
234.466,174,
234.51,215,
234.555,230,
234.599,210,
234.644,179,
234.688,194,
234.733,193,
234.777,193,
234.822,204,
234.866,191,
234.91,163,
234.955,228,
234.999,215,
235.044,180,
235.088,179,
235.133,149,
235.177,161,
235.221,212,
235.266,207,
235.31,190,
235.355,167,
235.399,152,
235.443,151,
235.488,164,
235.532,163,
235.577,233,
235.621,188,
235.665,151,
235.71,177,
235.754,233,
235.798,179,
235.843,199,
235.887,197,
235.931,199,
235.976,201,
236.02,195,
236.064,161,
236.109,162,
236.153,169,
236.197,161,
236.241,187,
236.286,176,
236.33,187,
236.374,192,
236.418,174,
236.463,165,
236.507,188,
236.551,191,
236.595,260,
236.64,165,
236.684,151,
236.728,276,
236.772,269,
236.816,247,
236.861,170,
236.905,187,
236.949,170,
236.993,222,
237.037,239,
237.082,231,
237.126,226,
237.17,188,
237.214,199,
237.258,273,
237.302,303,
237.346,222,
237.39,263,
237.435,238,
237.479,195,
237.523,219,
237.567,208,
237.611,201,
237.655,172,
237.699,167,
237.743,182,
237.787,246,
237.831,233,
237.875,194,
237.919,163,
237.963,122,
238.008,202,
238.052,223,
238.096,208,
238.14,244,
238.184,299,
238.228,256,
238.272,272,
238.316,257,
238.36,236,
238.404,253,
238.447,162,
238.491,235,
238.535,172,
238.579,254,
238.623,219,
238.667,242,
238.711,174,
238.755,208,
238.799,206,
238.843,226,
238.887,271,
238.931,179,
238.975,242,
239.019,206,
239.062,194,
239.106,232,
239.15,209,
239.194,187,
239.238,183,
239.282,230,
239.326,223,
239.369,220,
239.413,185,
239.457,195,
239.501,251,
239.545,219,
239.589,248,
239.632,231,
239.676,210,
239.72,231,
239.764,197,
239.807,248,
239.851,203,
239.895,214,
239.939,137,
239.983,181,
240.026,233,
240.07,229,
240.114,206,
240.158,185,
240.201,149,
240.245,179,
240.289,210,
240.332,230,
240.376,185,
240.42,192,
240.463,226,
240.507,183,
240.551,215,
240.594,197,
240.638,188,
240.682,217,
240.725,185,
240.769,146,
240.813,181,
240.856,221,
240.9,185,
240.944,161,
240.987,188,
241.031,247,
241.074,233,
241.118,258,
241.162,217,
241.205,249,
241.249,242,
241.292,219,
241.336,203,
241.379,205,
241.423,137,
241.466,192,
241.51,147,
241.554,188,
241.597,189,
241.641,196,
241.684,213,
241.728,201,
241.771,221,
241.815,220,
241.858,214,
241.902,183,
241.945,156,
241.989,183,
242.032,199,
242.075,213,
242.119,199,
242.162,194,
242.206,167,
242.249,184,
242.293,188,
242.336,229,
242.379,226,
242.423,197,
242.466,170,
242.51,179,
242.553,210,
242.596,247,
242.64,184,
242.683,174,
242.727,201,
242.77,173,
242.813,187,
242.857,172,
242.9,167,
242.943,154,
242.987,264,
243.03,256,
243.073,192,
243.116,222,
243.16,239,
243.203,129,
243.246,152,
243.29,243,
243.333,201,
243.376,167,
243.419,172,
243.463,237,
243.506,233,
243.549,256,
243.592,165,
243.636,220,
243.679,174,
243.722,217,
243.765,203,
243.809,187,
243.852,174,
243.895,176,
243.938,170,
243.981,143,
244.024,238,
244.068,216,
244.111,235,
244.154,245,
244.197,161,
244.24,161,
244.283,206,
244.327,219,
244.37,197,
244.413,237,
244.456,192,
244.499,176,
244.542,237,
244.585,219,
244.628,195,
244.671,188,
244.714,174,
244.757,210,
244.801,194,
244.844,197,
244.887,154,
244.93,200,
244.973,194,
245.016,246,
245.059,178,
245.102,179,
245.145,161,
245.188,189,
245.231,165,
245.274,217,
245.317,192,
245.36,210,
245.403,156,
245.446,170,
245.489,201,
245.532,169,
245.575,203,
245.617,184,
245.66,224,
245.703,209,
245.746,165,
245.789,234,
245.832,219,
245.875,176,
245.918,175,
245.961,215,
246.004,180,
246.047,201,
246.089,172,
246.132,171,
246.175,200,
246.218,210,
246.261,222,
246.304,165,
246.347,219,
246.389,192,
246.432,187,
246.475,239,
246.518,205,
246.561,203,
246.603,174,
246.646,197,
246.689,192,
246.732,181,
246.775,176,
246.817,197,
246.86,170,
246.903,144,
246.946,230,
246.988,225,
247.031,209,
247.074,237,
247.116,173,
247.159,214,
247.202,147,
247.245,176,
247.287,212,
247.33,194,
247.373,150,
247.415,193,
247.458,179,
247.501,210,
247.543,195,
247.586,195,
247.629,205,
247.671,178,
247.714,212,
247.756,285,
247.799,265,
247.842,506,
247.884,443,
247.927,420,
247.97,317,
248.012,288,
248.055,244,
248.097,219,
248.14,249,
248.182,194,
248.225,180,
248.267,262,
248.31,192,
248.353,263,
248.395,187,
248.438,224,
248.48,206,
248.523,228,
248.565,230,
248.608,162,
248.65,223,
248.693,208,
248.735,191,
248.778,226,
248.82,178,
248.863,217,
248.905,194,
248.947,193,
248.99,187,
249.032,174,
249.075,194,
249.117,192,
249.16,198,
249.202,178,
249.244,207,
249.287,188,
249.329,213,
249.372,184,
249.414,217,
249.456,176,
249.499,186,
249.541,178,
249.583,180,
249.626,207,
249.668,192,
249.71,211,
249.753,186,
249.795,190,
249.837,178,
249.88,199,
249.922,211,
249.964,192,
250.007,171,
250.049,170,
250.091,192,
250.133,226,
250.176,190,
250.218,197,
250.26,219,
250.302,195,
250.345,190,
250.387,159,
250.429,165,
250.471,221,
250.513,164,
250.556,154,
250.598,167,
250.64,257,
250.682,344,
250.724,380,
250.767,310,
250.809,240,
250.851,214,
250.893,193,
250.935,180,
250.977,224,
251.019,192,
251.062,211,
251.104,242,
251.146,271,
251.188,188,
251.23,190,
251.272,205,
251.314,136,
251.356,149,
251.398,291,
251.44,314,
251.483,358,
251.525,288,
251.567,326,
251.609,610,
251.651,556,
251.693,472,
251.735,258,
251.777,298,
251.819,204,
251.861,247,
251.903,274,
251.945,280,
251.987,283,
252.029,238,
252.071,227,
252.113,176,
252.155,219,
252.197,155,
252.239,184,
252.281,199,
252.322,210,
252.364,283,
252.406,341,
252.448,382,
252.49,353,
252.532,260,
252.574,275,
252.616,192,
252.658,256,
252.7,185,
252.741,228,
252.783,227,
252.825,357,
252.867,339,
252.909,319,
252.951,271,
252.993,276,
253.034,228,
253.076,220,
253.118,198,
253.16,198,
253.202,183,
253.243,235,
253.285,208,
253.327,206,
253.369,187,
253.41,154,
253.452,197,
253.494,239,
253.536,224,
253.577,176,
253.619,210,
253.661,181,
253.703,124,
253.744,228,
253.786,226,
253.828,140,
253.87,170,
253.911,193,
253.953,217,
253.995,199,
254.036,167,
254.078,180,
254.12,184,
254.161,215,
254.203,197,
254.244,159,
254.286,214,
254.328,208,
254.369,199,
254.411,165,
254.453,187,
254.494,151,
254.536,167,
254.577,213,
254.619,156,
254.66,211,
254.702,151,
