ReocrdTime: _20250426_104145
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,46,
195.938,46,
195.987,52,
196.037,53,
196.086,35,
196.135,25,
196.184,52,
196.233,81,
196.283,7,
196.332,45,
196.381,63,
196.43,36,
196.479,57,
196.529,35,
196.578,40,
196.627,27,
196.676,50,
196.725,65,
196.774,57,
196.824,50,
196.873,14,
196.922,53,
196.971,39,
197.02,49,
197.069,27,
197.118,45,
197.168,37,
197.217,29,
197.266,41,
197.315,86,
197.364,21,
197.413,41,
197.462,-2,
197.511,57,
197.56,77,
197.609,59,
197.658,64,
197.707,68,
197.756,81,
197.805,63,
197.854,53,
197.904,54,
197.953,83,
198.002,52,
198.051,54,
198.1,78,
198.149,88,
198.198,99,
198.247,95,
198.296,52,
198.345,77,
198.393,41,
198.442,63,
198.491,95,
198.54,72,
198.589,34,
198.638,57,
198.687,103,
198.736,149,
198.785,129,
198.834,167,
198.883,169,
198.932,163,
198.981,145,
199.03,111,
199.079,88,
199.127,64,
199.176,66,
199.225,88,
199.274,68,
199.323,36,
199.372,90,
199.421,81,
199.47,16,
199.518,85,
199.567,48,
199.616,99,
199.665,68,
199.714,54,
199.763,86,
199.811,70,
199.86,98,
199.909,56,
199.958,41,
200.007,56,
200.055,87,
200.104,79,
200.153,59,
200.202,81,
200.25,54,
200.299,63,
200.348,57,
200.397,79,
200.445,84,
200.494,47,
200.543,66,
200.592,45,
200.64,45,
200.689,63,
200.738,106,
200.787,76,
200.835,49,
200.884,42,
200.933,78,
200.981,84,
201.03,52,
201.079,61,
201.127,59,
201.176,107,
201.225,120,
201.273,88,
201.322,57,
201.371,39,
201.419,95,
201.468,95,
201.516,94,
201.565,63,
201.614,102,
201.662,53,
201.711,54,
201.759,75,
201.808,68,
201.857,95,
201.905,85,
201.954,83,
202.002,90,
202.051,93,
202.099,54,
202.148,69,
202.197,50,
202.245,58,
202.294,61,
202.342,99,
202.391,77,
202.439,95,
202.488,73,
202.536,110,
202.585,108,
202.633,106,
202.682,89,
202.73,74,
202.779,43,
202.827,88,
202.876,71,
202.924,70,
202.973,86,
203.021,66,
203.069,72,
203.118,82,
203.166,93,
203.215,88,
203.263,89,
203.312,39,
203.36,70,
203.408,75,
203.457,70,
203.505,65,
203.554,49,
203.602,65,
203.65,44,
203.699,74,
203.747,81,
203.795,128,
203.844,61,
203.892,86,
203.941,104,
203.989,103,
204.037,97,
204.086,90,
204.134,42,
204.182,60,
204.23,88,
204.279,104,
204.327,84,
204.375,84,
204.424,63,
204.472,76,
204.52,115,
204.569,102,
204.617,97,
204.665,111,
204.713,74,
204.762,106,
204.81,81,
204.858,106,
204.906,72,
204.955,77,
205.003,66,
205.051,113,
205.099,118,
205.147,104,
205.196,74,
205.244,106,
205.292,79,
205.34,106,
205.388,138,
205.437,111,
205.485,131,
205.533,121,
205.581,99,
205.629,127,
205.677,115,
205.725,142,
205.774,154,
205.822,160,
205.87,129,
205.918,144,
205.966,156,
206.014,102,
206.062,99,
206.11,115,
206.158,139,
206.207,81,
206.255,115,
206.303,124,
206.351,115,
206.399,110,
206.447,147,
206.495,123,
206.543,120,
206.591,118,
206.639,93,
206.687,138,
206.735,131,
206.783,121,
206.831,135,
206.879,119,
206.927,120,
206.975,135,
207.023,174,
207.071,153,
207.119,101,
207.167,113,
207.215,118,
207.263,143,
207.311,146,
207.359,122,
207.407,133,
207.455,127,
207.503,149,
207.551,147,
207.599,108,
207.646,129,
207.694,113,
207.742,116,
207.79,146,
207.838,124,
207.886,183,
207.934,124,
207.982,92,
208.03,142,
208.077,120,
208.125,120,
208.173,169,
208.221,131,
208.269,115,
208.317,177,
208.365,152,
208.412,140,
208.46,113,
208.508,125,
208.556,102,
208.604,166,
208.651,146,
208.699,129,
208.747,145,
208.795,84,
208.843,144,
208.89,125,
208.938,183,
208.986,138,
209.034,97,
209.081,144,
209.129,140,
209.177,174,
209.225,155,
209.272,142,
209.32,160,
209.368,183,
209.415,113,
209.463,145,
209.511,188,
209.559,156,
209.606,159,
209.654,126,
209.702,177,
209.749,176,
209.797,157,
209.845,135,
209.892,147,
209.94,119,
209.988,181,
210.035,143,
210.083,133,
210.13,180,
210.178,197,
210.226,167,
210.273,191,
210.321,167,
210.368,129,
210.416,154,
210.464,169,
210.511,135,
210.559,178,
210.606,206,
210.654,176,
210.701,140,
210.749,143,
210.797,139,
210.844,180,
210.892,154,
210.939,145,
210.987,108,
211.034,135,
211.082,176,
211.129,147,
211.177,192,
211.224,183,
211.272,196,
211.319,160,
211.367,188,
211.414,204,
211.462,248,
211.509,190,
211.556,161,
211.604,190,
211.651,184,
211.699,168,
211.746,165,
211.794,160,
211.841,219,
211.889,247,
211.936,210,
211.983,197,
212.031,180,
212.078,196,
212.125,215,
212.173,280,
212.22,278,
212.268,305,
212.315,531,
212.362,827,
212.41,918,
212.457,845,
212.504,609,
212.552,396,
212.599,290,
212.646,235,
212.694,217,
212.741,274,
212.788,215,
212.836,240,
212.883,201,
212.93,226,
212.977,198,
213.025,261,
213.072,194,
213.119,216,
213.167,210,
213.214,186,
213.261,180,
213.308,246,
213.356,228,
213.403,198,
213.45,188,
213.497,253,
213.544,213,
213.592,228,
213.639,281,
213.686,208,
213.733,206,
213.78,219,
213.828,210,
213.875,253,
213.922,256,
213.969,195,
214.016,188,
214.063,224,
214.111,253,
214.158,222,
214.205,190,
214.252,222,
214.299,164,
214.346,217,
214.393,267,
214.44,294,
214.488,205,
214.535,204,
214.582,260,
214.629,262,
214.676,252,
214.723,216,
214.77,233,
214.817,215,
214.864,287,
214.911,269,
214.958,246,
215.005,273,
215.052,203,
215.099,251,
215.146,237,
215.193,237,
215.24,226,
215.287,242,
215.334,264,
215.381,213,
215.428,239,
215.475,210,
215.522,195,
215.569,222,
215.616,207,
215.663,233,
215.71,243,
215.757,201,
215.804,248,
215.851,195,
215.898,240,
215.945,253,
215.992,251,
216.039,271,
216.085,267,
216.132,248,
216.179,231,
216.226,233,
216.273,194,
216.32,257,
216.367,212,
216.414,274,
216.461,276,
216.507,226,
216.554,251,
216.601,254,
216.648,350,
216.695,299,
216.742,327,
216.788,343,
216.835,275,
216.882,215,
216.929,259,
216.976,216,
217.022,208,
217.069,253,
217.116,235,
217.163,179,
217.209,258,
217.256,280,
217.303,282,
217.35,276,
217.396,357,
217.443,294,
217.49,301,
217.537,301,
217.583,310,
217.63,240,
217.677,249,
217.724,230,
217.77,267,
217.817,269,
217.864,338,
217.91,278,
217.957,253,
218.004,240,
218.05,255,
218.097,240,
218.144,210,
218.19,263,
218.237,215,
218.283,225,
218.33,260,
218.377,246,
218.423,258,
218.47,294,
218.517,231,
218.563,253,
218.61,296,
218.656,315,
218.703,337,
218.75,289,
218.796,286,
218.843,299,
218.889,302,
218.936,254,
218.982,239,
219.029,237,
219.075,301,
219.122,255,
219.168,331,
219.215,308,
219.261,301,
219.308,265,
219.354,308,
219.401,337,
219.447,315,
219.494,266,
219.54,231,
219.587,265,
219.633,331,
219.68,269,
219.726,298,
219.773,292,
219.819,235,
219.866,330,
219.912,332,
219.958,347,
220.005,289,
220.051,314,
220.098,306,
220.144,312,
220.19,325,
220.237,357,
220.283,294,
220.33,321,
220.376,282,
220.422,314,
220.469,427,
220.515,423,
220.561,409,
220.608,312,
220.654,328,
220.7,331,
220.747,504,
220.793,606,
220.839,678,
220.886,629,
220.932,508,
220.978,606,
221.025,809,
221.071,1053,
221.117,1030,
221.163,1202,
221.21,854,
221.256,695,
221.302,548,
221.348,427,
221.395,387,
221.441,375,
221.487,332,
221.533,379,
221.58,436,
221.626,773,
221.672,1060,
221.718,1137,
221.764,1012,
221.811,825,
221.857,787,
221.903,597,
221.949,398,
221.995,373,
222.041,370,
222.088,377,
222.134,329,
222.18,318,
222.226,290,
222.272,310,
222.318,368,
222.364,305,
222.411,240,
222.457,276,
222.503,330,
222.549,334,
222.595,373,
222.641,314,
222.687,332,
222.733,333,
222.779,265,
222.825,293,
222.871,348,
222.917,365,
222.963,298,
223.009,281,
223.055,346,
223.102,375,
223.148,337,
223.194,344,
223.24,334,
223.286,248,
223.332,281,
223.378,358,
223.424,291,
223.469,330,
223.515,294,
223.561,303,
223.607,277,
223.653,293,
223.699,379,
223.745,297,
223.791,255,
223.837,315,
223.883,267,
223.929,377,
223.975,313,
224.021,291,
224.067,257,
224.113,375,
224.158,298,
224.204,328,
224.25,393,
224.296,278,
224.342,337,
224.388,301,
224.434,298,
224.48,289,
224.525,294,
224.571,348,
224.617,350,
224.663,337,
224.709,305,
224.754,278,
224.8,310,
224.846,275,
224.892,325,
224.938,306,
224.983,354,
225.029,276,
225.075,296,
225.121,341,
225.167,307,
225.212,269,
225.258,269,
225.304,316,
225.35,346,
225.395,280,
225.441,335,
225.487,379,
225.532,283,
225.578,271,
225.624,349,
225.67,333,
225.715,317,
225.761,312,
225.807,371,
225.852,332,
225.898,355,
225.944,334,
225.989,409,
226.035,411,
226.08,330,
226.126,425,
226.172,364,
226.217,394,
226.263,445,
226.309,482,
226.354,589,
226.4,758,
226.445,714,
226.491,502,
226.537,382,
226.582,430,
226.628,332,
226.673,379,
226.719,418,
226.764,423,
226.81,465,
226.855,567,
226.901,742,
226.947,983,
226.992,1030,
227.038,724,
227.083,510,
227.129,430,
227.174,380,
227.22,373,
227.265,391,
227.311,387,
227.356,402,
227.402,405,
227.447,283,
227.492,344,
227.538,329,
227.583,400,
227.629,392,
227.674,382,
227.72,341,
227.765,355,
227.81,337,
227.856,362,
227.901,391,
227.947,300,
227.992,330,
228.037,350,
228.083,344,
228.128,361,
228.174,321,
228.219,324,
228.264,353,
228.31,265,
228.355,353,
228.4,363,
228.446,342,
228.491,359,
228.536,384,
228.582,339,
228.627,371,
228.672,312,
228.717,374,
228.763,308,
228.808,337,
228.853,330,
228.899,366,
228.944,429,
228.989,300,
229.034,376,
229.08,323,
