ReocrdTime: _20250426_113237
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,30,
195.938,30,
195.987,38,
196.037,46,
196.086,23,
196.135,28,
196.184,4,
196.233,42,
196.283,34,
196.332,30,
196.381,104,
196.43,41,
196.479,59,
196.529,52,
196.578,25,
196.627,27,
196.676,63,
196.725,65,
196.774,46,
196.824,35,
196.873,39,
196.922,64,
196.971,50,
197.02,45,
197.069,24,
197.118,34,
197.168,39,
197.217,36,
197.266,47,
197.315,57,
197.364,34,
197.413,50,
197.462,13,
197.511,50,
197.56,88,
197.609,57,
197.658,46,
197.707,63,
197.756,81,
197.805,77,
197.854,82,
197.904,56,
197.953,40,
198.002,62,
198.051,45,
198.1,40,
198.149,57,
198.198,102,
198.247,98,
198.296,74,
198.345,69,
198.393,32,
198.442,61,
198.491,58,
198.54,94,
198.589,68,
198.638,81,
198.687,101,
198.736,142,
198.785,111,
198.834,147,
198.883,99,
198.932,152,
198.981,141,
199.03,104,
199.079,86,
199.127,36,
199.176,106,
199.225,57,
199.274,76,
199.323,39,
199.372,58,
199.421,49,
199.47,27,
199.518,85,
199.567,57,
199.616,63,
199.665,49,
199.714,58,
199.763,79,
199.811,49,
199.86,98,
199.909,36,
199.958,54,
200.007,45,
200.055,73,
200.104,54,
200.153,65,
200.202,31,
200.25,40,
200.299,61,
200.348,43,
200.397,40,
200.445,34,
200.494,52,
200.543,95,
200.592,61,
200.64,58,
200.689,59,
200.738,47,
200.787,70,
200.835,45,
200.884,31,
200.933,83,
200.981,36,
201.03,27,
201.079,52,
201.127,54,
201.176,84,
201.225,73,
201.273,68,
201.322,36,
201.371,41,
201.419,92,
201.468,45,
201.516,63,
201.565,38,
201.614,97,
201.662,70,
201.711,40,
201.759,47,
201.808,7,
201.857,64,
201.905,45,
201.954,72,
202.002,82,
202.051,57,
202.099,67,
202.148,64,
202.197,57,
202.245,58,
202.294,45,
202.342,86,
202.391,59,
202.439,111,
202.488,70,
202.536,122,
202.585,110,
202.633,97,
202.682,64,
202.73,83,
202.779,80,
202.827,81,
202.876,63,
202.924,53,
202.973,63,
203.021,77,
203.069,56,
203.118,93,
203.166,81,
203.215,58,
203.263,68,
203.312,75,
203.36,76,
203.408,70,
203.457,43,
203.505,59,
203.554,40,
203.602,34,
203.65,42,
203.699,95,
203.747,50,
203.795,86,
203.844,45,
203.892,52,
203.941,88,
203.989,90,
204.037,65,
204.086,82,
204.134,74,
204.182,85,
204.23,81,
204.279,90,
204.327,102,
204.375,88,
204.424,88,
204.472,97,
204.52,96,
204.569,120,
204.617,70,
204.665,47,
204.713,86,
204.762,90,
204.81,61,
204.858,84,
204.906,92,
204.955,68,
205.003,75,
205.051,106,
205.099,97,
205.147,115,
205.196,81,
205.244,82,
205.292,83,
205.34,81,
205.388,143,
205.437,75,
205.485,90,
205.533,113,
205.581,99,
205.629,113,
205.677,147,
205.725,124,
205.774,141,
205.822,214,
205.87,156,
205.918,167,
205.966,114,
206.014,106,
206.062,131,
206.11,136,
206.158,174,
206.207,151,
206.255,117,
206.303,115,
206.351,108,
206.399,139,
206.447,158,
206.495,118,
206.543,116,
206.591,125,
206.639,75,
206.687,129,
206.735,133,
206.783,97,
206.831,117,
206.879,101,
206.927,113,
206.975,124,
207.023,201,
207.071,97,
207.119,108,
207.167,116,
207.215,159,
207.263,149,
207.311,149,
207.359,107,
207.407,133,
207.455,142,
207.503,131,
207.551,104,
207.599,108,
207.646,133,
207.694,111,
207.742,100,
207.79,155,
207.838,134,
207.886,120,
207.934,122,
207.982,122,
208.03,143,
208.077,142,
208.125,160,
208.173,170,
208.221,107,
208.269,144,
208.317,199,
208.365,159,
208.412,131,
208.46,118,
208.508,154,
208.556,141,
208.604,170,
208.651,120,
208.699,140,
208.747,95,
208.795,132,
208.843,135,
208.89,127,
208.938,211,
208.986,130,
209.034,93,
209.081,122,
209.129,118,
209.177,125,
209.225,160,
209.272,142,
209.32,97,
209.368,125,
209.415,126,
209.463,199,
209.511,142,
209.559,113,
209.606,116,
209.654,128,
209.702,138,
209.749,165,
209.797,127,
209.845,127,
209.892,136,
209.94,138,
209.988,169,
210.035,140,
210.083,128,
210.13,129,
210.178,178,
210.226,167,
210.273,171,
210.321,167,
210.368,100,
210.416,135,
210.464,172,
210.511,151,
210.559,183,
210.606,183,
210.654,156,
210.701,135,
210.749,138,
