ReocrdTime: _20250426_111718
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,8,
195.938,8,
195.987,7,
196.037,14,
196.086,43,
196.135,26,
196.184,49,
196.233,22,
196.283,14,
196.332,50,
196.381,75,
196.43,43,
196.479,49,
196.529,19,
196.578,47,
196.627,36,
196.676,48,
196.725,40,
196.774,34,
196.824,28,
196.873,26,
196.922,41,
196.971,52,
197.02,34,
197.069,6,
197.118,23,
197.168,23,
197.217,47,
197.266,45,
197.315,44,
197.364,14,
197.413,28,
197.462,22,
197.511,54,
197.56,68,
197.609,34,
197.658,43,
197.707,61,
197.756,88,
197.805,56,
197.854,37,
197.904,26,
197.953,54,
198.002,50,
198.051,55,
198.1,45,
198.149,41,
198.198,72,
198.247,59,
198.296,43,
198.345,58,
198.393,29,
198.442,70,
198.491,68,
198.54,72,
198.589,48,
198.638,70,
198.687,101,
198.736,124,
198.785,115,
198.834,163,
198.883,137,
198.932,185,
198.981,141,
199.03,98,
199.079,70,
199.127,50,
199.176,81,
199.225,75,
199.274,63,
199.323,27,
199.372,74,
199.421,88,
199.47,21,
199.518,65,
199.567,21,
199.616,69,
199.665,67,
199.714,49,
199.763,54,
199.811,60,
199.86,62,
199.909,39,
199.958,27,
200.007,51,
200.055,78,
200.104,36,
200.153,38,
200.202,58,
200.25,56,
200.299,50,
200.348,55,
200.397,65,
200.445,54,
200.494,34,
200.543,57,
200.592,34,
200.64,45,
200.689,56,
200.738,70,
200.787,51,
200.835,41,
200.884,52,
200.933,85,
200.981,45,
201.03,41,
201.079,47,
201.127,80,
201.176,105,
201.225,57,
201.273,47,
201.322,43,
201.371,45,
201.419,99,
201.468,104,
201.516,74,
201.565,33,
201.614,79,
201.662,75,
201.711,43,
201.759,64,
201.808,31,
201.857,62,
201.905,52,
201.954,127,
202.002,66,
202.051,66,
202.099,59,
202.148,48,
202.197,57,
202.245,76,
202.294,81,
202.342,86,
202.391,50,
202.439,65,
202.488,25,
202.536,99,
202.585,99,
202.633,86,
202.682,50,
202.73,45,
202.779,70,
202.827,81,
202.876,66,
202.924,17,
202.973,77,
203.021,50,
203.069,56,
203.118,79,
203.166,81,
203.215,76,
203.263,66,
203.312,59,
203.36,77,
203.408,75,
203.457,68,
203.505,49,
203.554,40,
203.602,56,
203.65,51,
203.699,79,
203.747,47,
203.795,94,
203.844,48,
203.892,50,
203.941,101,
203.989,101,
204.037,72,
204.086,61,
204.134,54,
204.182,74,
204.23,86,
204.279,59,
204.327,61,
204.375,55,
204.424,57,
204.472,63,
204.52,105,
204.569,72,
204.617,72,
204.665,52,
204.713,77,
204.762,99,
204.81,58,
204.858,83,
204.906,83,
204.955,86,
205.003,100,
205.051,106,
205.099,79,
205.147,88,
205.196,65,
205.244,73,
205.292,90,
205.34,108,
205.388,143,
205.437,116,
205.485,86,
205.533,125,
205.581,90,
205.629,71,
205.677,111,
205.725,102,
205.774,109,
205.822,136,
205.87,106,
205.918,110,
205.966,134,
206.014,80,
206.062,109,
206.11,95,
206.158,148,
206.207,124,
206.255,99,
206.303,101,
206.351,83,
206.399,108,
206.447,140,
206.495,109,
206.543,99,
206.591,120,
206.639,97,
206.687,131,
206.735,95,
206.783,88,
206.831,99,
206.879,103,
206.927,111,
206.975,110,
207.023,130,
207.071,90,
207.119,129,
207.167,109,
207.215,107,
207.263,134,
207.311,153,
207.359,93,
207.407,122,
207.455,108,
207.503,124,
207.551,120,
207.599,102,
207.646,117,
207.694,73,
207.742,84,
207.79,124,
207.838,156,
207.886,147,
207.934,74,
207.982,85,
208.03,156,
208.077,110,
208.125,124,
208.173,138,
208.221,127,
208.269,117,
208.317,136,
208.365,136,
208.412,106,
208.46,82,
208.508,125,
208.556,111,
208.604,148,
208.651,99,
208.699,153,
208.747,83,
208.795,88,
208.843,106,
208.89,95,
208.938,145,
208.986,95,
209.034,100,
209.081,126,
209.129,113,
209.177,136,
209.225,167,
209.272,110,
209.32,117,
209.368,127,
209.415,97,
209.463,172,
209.511,131,
209.559,124,
209.606,124,
209.654,110,
209.702,154,
209.749,115,
209.797,107,
209.845,117,
209.892,95,
209.94,154,
209.988,102,
210.035,124,
210.083,103,
210.13,131,
210.178,169,
210.226,176,
210.273,142,
210.321,139,
210.368,82,
210.416,135,
210.464,136,
210.511,147,
210.559,182,
210.606,153,
210.654,126,
210.701,156,
210.749,111,
210.797,143,
210.844,146,
210.892,125,
210.939,126,
210.987,126,
211.034,162,
211.082,192,
211.129,156,
211.177,140,
211.224,162,
211.272,171,
211.319,151,
211.367,152,
211.414,163,
211.462,199,
211.509,167,
211.556,195,
211.604,176,
211.651,172,
211.699,133,
211.746,158,
211.794,165,
211.841,205,
211.889,188,
211.936,174,
211.983,140,
212.031,162,
212.078,158,
212.125,222,
212.173,226,
212.22,216,
212.268,273,
212.315,427,
212.362,653,
212.41,958,
212.457,1033,
212.504,713,
212.552,436,
212.599,314,
212.646,229,
212.694,208,
212.741,229,
212.788,201,
212.836,224,
212.883,206,
212.93,219,
212.977,171,
213.025,225,
213.072,126,
213.119,156,
213.167,226,
213.214,204,
213.261,165,
213.308,216,
213.356,160,
213.403,194,
213.45,202,
213.497,165,
213.544,161,
213.592,169,
213.639,208,
213.686,204,
213.733,222,
213.78,170,
213.828,203,
213.875,199,
213.922,233,
213.969,199,
214.016,168,
214.063,183,
214.111,186,
214.158,150,
214.205,151,
214.252,178,
214.299,142,
214.346,253,
214.393,226,
214.44,227,
214.488,147,
214.535,183,
214.582,220,
214.629,201,
214.676,191,
214.723,173,
214.77,223,
214.817,203,
214.864,226,
214.911,185,
214.958,188,
215.005,230,
215.052,228,
215.099,206,
215.146,197,
215.193,151,
215.24,179,
215.287,220,
215.334,230,
215.381,197,
215.428,210,
215.475,185,
215.522,215,
215.569,190,
215.616,223,
215.663,237,
215.71,208,
215.757,179,
215.804,201,
215.851,165,
215.898,183,
215.945,223,
215.992,207,
216.039,226,
216.085,244,
216.132,194,
216.179,170,
216.226,182,
216.273,169,
216.32,208,
216.367,222,
216.414,271,
216.461,195,
216.507,198,
216.554,217,
216.601,222,
216.648,239,
216.695,244,
216.742,251,
216.788,264,
216.835,215,
216.882,206,
216.929,221,
216.976,210,
217.022,224,
217.069,224,
217.116,176,
217.163,179,
217.209,222,
217.256,242,
217.303,246,
217.35,242,
217.396,260,
217.443,258,
217.49,263,
217.537,270,
217.583,287,
217.63,195,
217.677,215,
217.724,201,
217.77,226,
217.817,204,
217.864,216,
217.91,237,
217.957,206,
218.004,258,
218.05,219,
218.097,204,
218.144,207,
218.19,226,
218.237,203,
218.283,208,
218.33,249,
218.377,230,
218.423,230,
218.47,179,
218.517,227,
218.563,242,
218.61,244,
218.656,227,
218.703,204,
218.75,223,
218.796,287,
218.843,303,
218.889,273,
218.936,224,
218.982,223,
219.029,230,
219.075,236,
219.122,203,
219.168,251,
219.215,242,
219.261,267,
219.308,235,
219.354,253,
219.401,251,
219.447,254,
219.494,194,
219.54,195,
219.587,210,
219.633,220,
219.68,240,
219.726,258,
219.773,245,
219.819,192,
219.866,254,
219.912,217,
219.958,301,
220.005,239,
220.051,239,
220.098,208,
220.144,255,
220.19,231,
220.237,337,
220.283,236,
220.33,248,
220.376,280,
220.422,276,
220.469,363,
220.515,346,
220.561,326,
220.608,289,
220.654,285,
220.7,285,
220.747,359,
220.793,414,
220.839,588,
220.886,543,
220.932,396,
220.978,518,
221.025,603,
221.071,791,
221.117,955,
221.163,1053,
221.21,748,
221.256,654,
221.302,469,
221.348,332,
221.395,339,
221.441,343,
221.487,294,
221.533,345,
221.58,411,
221.626,518,
221.672,908,
221.718,1123,
221.764,940,
221.811,712,
221.857,708,
221.903,531,
221.949,346,
221.995,305,
222.041,303,
222.088,312,
222.134,293,
222.18,280,
222.226,256,
222.272,315,
222.318,299,
222.364,248,
222.411,202,
222.457,285,
222.503,312,
222.549,280,
222.595,303,
222.641,240,
222.687,259,
222.733,249,
222.779,252,
222.825,285,
222.871,296,
222.917,287,
222.963,284,
223.009,249,
223.055,254,
223.102,314,
223.148,285,
