ReocrdTime: _20250426_132915
IntegrationTime: 200
DataLength: 7305
accumulateCount: 1
Wavelength,Data
195.889,34,
195.938,34,
195.987,52,
196.037,43,
196.086,43,
196.135,32,
196.184,20,
196.233,34,
196.283,27,
196.332,30,
196.381,14,
196.43,32,
196.479,52,
196.529,25,
196.578,32,
196.627,9,
196.676,48,
196.725,63,
196.774,46,
196.824,16,
196.873,-13,
196.922,62,
196.971,36,
197.02,52,
197.069,15,
197.118,45,
197.168,34,
197.217,9,
197.266,27,
197.315,44,
197.364,26,
197.413,39,
197.462,9,
197.511,34,
197.56,55,
197.609,64,
197.658,66,
197.707,47,
197.756,54,
197.805,54,
197.854,39,
197.904,45,
197.953,59,
198.002,43,
198.051,20,
198.1,61,
198.149,45,
198.198,74,
198.247,54,
198.296,27,
198.345,47,
198.393,7,
198.442,52,
198.491,79,
198.54,61,
198.589,37,
198.638,66,
198.687,77,
198.736,122,
198.785,106,
198.834,102,
198.883,96,
198.932,118,
198.981,105,
199.03,91,
199.079,63,
199.127,47,
199.176,57,
199.225,70,
199.274,61,
199.323,23,
199.372,34,
199.421,54,
199.47,28,
199.518,61,
199.567,39,
199.616,61,
199.665,32,
199.714,35,
199.763,40,
199.811,63,
199.86,78,
199.909,45,
199.958,22,
200.007,31,
200.055,55,
200.104,41,
200.153,59,
200.202,53,
200.25,15,
200.299,38,
200.348,34,
200.397,33,
200.445,63,
200.494,33,
200.543,50,
200.592,34,
200.64,42,
200.689,57,
200.738,31,
200.787,54,
200.835,41,
200.884,27,
200.933,67,
200.981,34,
201.03,48,
201.079,18,
201.127,52,
201.176,89,
201.225,62,
201.273,56,
201.322,32,
201.371,48,
201.419,47,
201.468,48,
201.516,65,
201.565,63,
201.614,57,
201.662,50,
201.711,40,
201.759,32,
201.808,40,
201.857,62,
201.905,54,
201.954,75,
202.002,63,
202.051,46,
202.099,56,
202.148,41,
202.197,43,
202.245,41,
202.294,18,
202.342,81,
202.391,66,
202.439,95,
202.488,43,
202.536,74,
202.585,67,
202.633,63,
202.682,50,
202.73,49,
202.779,57,
202.827,59,
202.876,79,
202.924,61,
202.973,73,
203.021,57,
203.069,38,
203.118,75,
203.166,77,
203.215,54,
203.263,52,
203.312,57,
203.36,52,
203.408,68,
203.457,34,
203.505,70,
203.554,29,
203.602,58,
203.65,26,
203.699,81,
203.747,72,
203.795,104,
203.844,52,
203.892,57,
203.941,70,
203.989,113,
204.037,92,
204.086,79,
204.134,90,
204.182,45,
204.23,54,
204.279,70,
204.327,57,
204.375,86,
204.424,64,
204.472,67,
204.52,90,
204.569,75,
204.617,81,
204.665,81,
204.713,74,
204.762,75,
204.81,61,
204.858,93,
204.906,88,
204.955,77,
205.003,48,
205.051,52,
205.099,106,
205.147,74,
205.196,84,
205.244,75,
205.292,59,
205.34,97,
205.388,80,
205.437,89,
205.485,108,
205.533,95,
205.581,54,
205.629,82,
205.677,142,
205.725,93,
205.774,143,
205.822,127,
205.87,117,
205.918,102,
205.966,125,
206.014,73,
206.062,86,
206.11,81,
206.158,103,
206.207,92,
206.255,90,
206.303,110,
206.351,61,
206.399,83,
206.447,86,
206.495,111,
206.543,113,
206.591,100,
206.639,63,
206.687,94,
206.735,72,
206.783,81,
206.831,104,
206.879,97,
206.927,95,
206.975,97,
207.023,160,
207.071,117,
207.119,111,
207.167,75,
207.215,80,
207.263,102,
207.311,149,
207.359,116,
207.407,97,
207.455,101,
207.503,88,
207.551,89,
207.599,86,
207.646,126,
207.694,84,
207.742,41,
207.79,92,
207.838,100,
207.886,134,
207.934,113,
207.982,79,
208.03,90,
208.077,99,
208.125,95,
208.173,122,
208.221,115,
208.269,99,
208.317,111,
208.365,95,
208.412,92,
208.46,108,
208.508,127,
208.556,111,
208.604,127,
208.651,110,
208.699,113,
208.747,120,
208.795,97,
208.843,74,
208.89,100,
208.938,136,
208.986,148,
209.034,90,
209.081,74,
209.129,113,
209.177,98,
209.225,138,
209.272,136,
209.32,109,
209.368,131,
209.415,70,
209.463,174,
209.511,122,
209.559,107,
209.606,100,
209.654,103,
209.702,91,
209.749,147,
209.797,104,
209.845,118,
209.892,93,
209.94,108,
209.988,113,
210.035,90,
210.083,83,
210.13,120,
210.178,144,
210.226,129,
210.273,135,
210.321,133,
210.368,70,
210.416,93,
210.464,152,
210.511,77,
210.559,124,
210.606,171,
210.654,142,
210.701,130,
210.749,95,
210.797,132,
210.844,174,
210.892,134,
210.939,113,
210.987,92,
211.034,115,
211.082,128,
211.129,142,
211.177,138,
211.224,104,
211.272,145,
211.319,144,
211.367,145,
211.414,172,
211.462,203,
211.509,158,
211.556,138,
211.604,138,
211.651,179,
211.699,125,
211.746,111,
211.794,144,
211.841,172,
211.889,159,
211.936,173,
211.983,158,
212.031,144,
212.078,158,
212.125,183,
212.173,217,
212.22,251,
212.268,246,
212.315,438,
212.362,685,
212.41,961,
212.457,997,
212.504,667,
212.552,353,
212.599,220,
212.646,195,
212.694,188,
212.741,224,
212.788,194,
212.836,201,
212.883,154,
212.93,191,
212.977,142,
213.025,187,
213.072,156,
213.119,147,
213.167,192,
213.214,165,
213.261,169,
213.308,187,
213.356,192,
213.403,156,
213.45,133,
213.497,195,
213.544,179,
213.592,139,
213.639,168,
213.686,192,
213.733,172,
213.78,140,
213.828,172,
213.875,194,
213.922,183,
213.969,168,
214.016,140,
214.063,196,
214.111,174,
214.158,156,
214.205,122,
214.252,117,
214.299,122,
214.346,174,
214.393,224,
214.44,233,
214.488,138,
214.535,134,
214.582,195,
214.629,185,
214.676,160,
214.723,176,
214.77,174,
214.817,169,
214.864,199,
214.911,210,
214.958,192,
215.005,214,
215.052,190,
215.099,172,
215.146,170,
215.193,187,
215.24,174,
215.287,179,
215.334,201,
215.381,177,
215.428,158,
215.475,178,
215.522,150,
215.569,201,
215.616,135,
215.663,176,
215.71,197,
215.757,204,
215.804,189,
215.851,184,
215.898,176,
215.945,201,
215.992,203,
216.039,204,
216.085,203,
216.132,155,
216.179,158,
216.226,182,
216.273,173,
216.32,241,
216.367,165,
216.414,238,
216.461,174,
216.507,196,
216.554,209,
216.601,226,
216.648,257,
216.695,224,
216.742,212,
216.788,244,
216.835,180,
216.882,149,
216.929,176,
216.976,196,
217.022,185,
217.069,208,
217.116,221,
217.163,168,
217.209,197,
217.256,208,
217.303,217,
217.35,202,
217.396,247,
217.443,230,
217.49,245,
217.537,224,
217.583,274,
217.63,197,
217.677,180,
217.724,176,
217.77,199,
217.817,226,
217.864,232,
217.91,168,
217.957,201,
218.004,224,
218.05,178,
218.097,199,
218.144,164,
218.19,231,
218.237,165,
218.283,164,
218.33,224,
218.377,194,
218.423,221,
218.47,199,
218.517,193,
218.563,231,
218.61,201,
218.656,186,
218.703,213,
218.75,201,
218.796,221,
218.843,263,
218.889,223,
218.936,217,
218.982,189,
219.029,174,
219.075,226,
219.122,192,
219.168,270,
219.215,226,
219.261,256,
219.308,253,
219.354,203,
219.401,233,
219.447,251,
219.494,196,
219.54,167,
219.587,201,
219.633,211,
219.68,228,
219.726,239,
219.773,236,
219.819,210,
219.866,280,
219.912,212,
219.958,274,
220.005,215,
220.051,293,
220.098,204,
220.144,240,
220.19,231,
220.237,292,
220.283,260,
220.33,234,
220.376,255,
220.422,276,
220.469,314,
220.515,330,
220.561,344,
220.608,256,
220.654,251,
220.7,251,
220.747,384,
220.793,593,
220.839,640,
220.886,567,
220.932,422,
220.978,522,
221.025,730,
221.071,877,
221.117,955,
221.163,1083,
221.21,759,
221.256,627,
221.302,434,
221.348,348,
221.395,328,
221.441,327,
221.487,287,
221.533,334,
221.58,355,
221.626,644,
221.672,1100,
221.718,1121,
221.764,883,
221.811,697,
221.857,671,
221.903,484,
221.949,353,
221.995,325,
222.041,278,
222.088,343,
222.134,296,
222.18,294,
222.226,256,
222.272,317,
222.318,247,
222.364,251,
222.411,199,
222.457,242,
222.503,274,
222.549,204,
222.595,312,
222.641,254,
222.687,278,
